J Cole -  see  Cole, J 
Jackson, Michael - You Rock My World
Jackson, Michael - You Are Not Alone
Jackson, Michael - Will You Be There
Jackson, Michael - Why [w/3T]
Jackson, Michael - Whoops Now
Jackson, Michael - Way You Make Me Feel, The
Jackson, Michael - Wanna Be Startin' Somethin'
Jackson, Michael - Thriller
Jackson, Michael - This Is It
Jackson, Michael - They Don't Really Care About Us
Jackson, Michael - One More Chance
Jackson, Michael - Off the Wall
Jackson, Michael - Dangerous
Jackson, Michael - Cry
Jackson, Michael - Childhood
Jackson, Michael - Can You Feel It [The Jacksons]
Jackson, Michael - Butterflies
Jackson, Michael - Blame It on the Boogie [The Jacksons]
Jackson, Michael - Black or White
Jackson, Michael - Billie Jean
Jackson, Michael - Ben
Jackson, Michael - Beat It
Jackson, Michael - Bad
Jackson, Michael - Another Part of Me
Jackson, Michael - Dirty Diana
Jackson, Michael - Don't Stop 'Til You Get Enough
Jackson, Michael - Earth Song
Jackson, Michael - Man in the Mirror
Jackson, Michael - Liberian Girl
Jackson, Michael - Jam
Jackson, Michael - In the Closet
Jackson, Michael - I Just Can't Stop Loving You [w/Siedah Garrett]
Jackson, Michael - Human Nature
Jackson, Michael - Hold My Hand [w/Akon]
Jackson, Michael - Heal the World
Jackson, Michael - Girl Is Mine, The [w/Paul McCartney]
Jackson, Michael - Farewell My Summer Love
Jackson, Michael - Ease on Down the Road [w/Diana Ross]
Jackson, Michael - Earthsong
Jackson, Nathan Lee - Desperate Man
Jackson, Stonewall - Waterloo
Jackson, Stonewall - Life to Go
Jackson, Stonewall - Don't Be Angry
Jackson, Stonewall - B. J. the D. J.
Jackson, Stonewall - Wound Time Can't Erase, A
Jackson, Wanda - In the Middle of a Heartache
Jackson, Wanda - Right or Wrong
Jackyl - Lumberjack, The
Jada - Break Up Song
Jadakiss - Jenny from the Block [w/Jennifer Lopez & Styles]
Jadakiss - Can't Stop Me [w/Ayanna Irish]
Jadakiss - Why? [w/Anthony Hamilton]
Jadakiss - Who's Real [w/Swizz Beatz & OJ Da Juiceman]
Jadakiss - Day & Night [w/Isyss]
Jadakiss - Time's Up [w/Nate Dogg]
Jadakiss - U Make Me Wanna [w/Mariah Carey]
Jade - Looking for Mr. Right
Jade - Every Day of the Week
Jade - Don't Walk Away
Jade - 5-4-3-2-Yo! Time Is Up
Jagged Edge - Where the Party at [w/Nelly]
Jagged Edge - What's It Like
Jagged Edge - Walked Outta Heaven
Jagged Edge - Trade It All Part 2 [w/Fabolous & P. Diddy]
Jagged Edge - Put a Little Umph in It [w/Ashanti]
Jagged Edge - My Baby [w/Bow Wow]
Jagged Edge - I Got It
Jagged Edge - Goodbye
Jagged Edge - Good Luck Charm
Jagged Edge - Don't Mess with My Man [2002 mix w/Nivea]
Jagged Edge - Nasty Girl [w/Notorious BIG & Diddy & Nelly]
Jagged Edge - Promise
Jaheim - Put That Woman First
Jaheim - Never
Jaheim - My Place [w/Nelly]
Jaheim - I've Changed [w/Keyshia Cole]
Jaheim - Have You Ever
Jaheim - Fabulous [w/Tha Rayne]
Jaheim - Could It Be
Jaheim - Backtight
Jaheim - Anything [w/Next]
Jaimeson - Complete
Jakatta & Seal - My Vision
Jam - That's Entertainment
Jam - Eton Rifles, The
Jam, The - Billy Hunt
Jam, The - That's Entertainment
Jam, The - Beat Surrender
Jam, The - Town Called Malice, A
Jam, The - To Be Someone
Jam, The - Absolute Beginners
Jam, The - All Around the World
Jam, The - Strange Town
Jam, The - Start
Jam, The - Modern World, The
Jam, The - Bitterest Pill (i've Ever Had to Swallow), The
Jam, The - David Watts
Jam, The - Down in the Tube Station at Midnight
Jam, The - Eaton Rifles
Jam, The - Eton Rifles
Jam, The - Funeral Pyre
Jam, The - Going Underground
Jam, The - Just Who Is the Five O'clock Hero
Jamaica - Tell Me Where It Hurts
Jamelia - Thank You
Jamelia - Superstar
Jamelia - Beware of the Dog
Jamelia - Stop
Jamelia - No More
Jamelia - See It in a Boy's Eyes
Jamelia - Something About You
James - Sound
James - Sit Down
James - Runaground
James - Laid
James - Born of Frustration
James - Fred Astaire
James Gang, The - Funk #49
James Gang, The - Walk Away
James, Brett - Female Bonding
James, Brett - Chasing Amy
James, Brett - After All
James, Duncan - I Believe My Heart [w/Keedie]
James, Duncan - Sooner or Later
James, Elmore - Dust My Broom
James, Etta - Feel Like Breakin' Up...
James, Etta - At Last
James, Etta - Damn Your Eyes
James, Etta - Sunday Kind of Love
James, Etta - Tell Mama
James, Etta - Dance with Me Henry
James, Etta - I'd Rather Go Blind
James, Etta - I Just Want to Make Love to You
James, Halo - Could Have Told You So
James, Holly - I'm in Heaven [w/Jason Nevins]
James, Jessie - I Look So Good (Without You)
James, Jessie - Wanted
James, Jimmy & Vagabonds - Now Is the Time
James, Joni - Why Don't You Believe Me
James, Mickie - Somebody's Gonna Pay
James, Rick - Fire and Desire [w/Teena Marie]
James, Rick - Super Freak
James, Rick - Mary Jane
James, Rick - Give It to Me Baby
James, Sonny - You're the Only World I Know
James, Sonny - Young Love
James, Sonny - Since I Met You Baby
James, Sonny - It's the Little Things
James, Sonny - Behind the Tear
James, Sonny - Bright Lights, Big City
James, Sonny - Don't Keep Me Hangin' On
James, Sonny - Heaven Says Hello
James, Sonny - I'll Never Find Another You
James, Tommy & the Shondells - Mirage
James, Tommy & the Shondells - Sweet Cherry Wine
James, Tommy & the Shondells - Mony Mony
James, Tommy & the Shondells - I Think We're Alone Now
James, Tommy & the Shondells - Hanky Panky
James, Tommy & the Shondells - Draggin' the Line
James, Tommy & the Shondells - Crystal Blue Persuasion
James, Tommy & the Shondells - Crimson & Clover
Jameson, Jimi - I'm Always Here (Baywatch Theme)
Jamiroquai - You Give Me Something
Jamiroquai - Virtual Insanity
Jamiroquai - Seven Days in Sunny June
Jamiroquai - Runaway
Jamiroquai - Cosmic Girl
Jamiroquai - Deeper Underground
Jamiroquai - Feels Just Like It Should
Jamiroquai - King for a Day
Jamiroquai - Canned Heat
Jamiroquai - Little L
Jamison, Jimi - Baywatch
Jan & Dean - Surf City
Jan & Dean - Little Old Lady from Pasadena, The
Jan & Dean - Dead Man's Curve
Jan & Kjeld - Banjo Boy
Jana - Ooh Baby, Baby
Jane's Addiction - True Nature
Jane's Addiction - Rexall [Dave Navarro solo]
Jane's Addiction - Just Because
Jane's Addiction - Jane Says
Jane's Addiction - Irresistible Force
Jane's Addiction - Hungry [Dave Navarro solo]
Jane's Addiction - Been Caught Stealing
JaneDear Girls, The - Wildflower
Janet, Joanna - Since I've Seen You Last
Janet, Joanna - Seven Little Steps
Janson, Chris - Cut Me Some Slack
Japan - I Second That Emotion
Japan - Quiet Life
Jarabe de Palo - De Vuelta y Vuelta
Jaron & the Long Road to Love - Pray for You
Jaron & the Long Road to Love - It's a Good Thing
Jarosz, Sarah - Run Away
Jarreau, Al - We're in This Love Together
Jarreau, Al - Teach Me Tonight
Jarreau, Al - Since I Fell for You
Jarreau, Al - Mornin'
Jarreau, Al - Moonlighting
Jarreau, Al - After All
Jarreau, Al - Boogie Down
Jars of Clay - Whatever She Wants
Jars of Clay - Revolution
Jars of Clay - I Need You
Jars of Clay - Flood
Jars of Clay - Crazy Times
Javier - Beautiful U R
Javier - Crazy
Javine - Real Things
Javine - Surrender
Javine - Touch My Fire
Jay & the Americans - Cara Mia
Jay & the Americans - Walkin' in the Rain
Jay & the Americans - This Magic Moment
Jay & the Americans - Sunday and Me
Jay & the Americans - Come a Little Bit Closer
Jay & the Americans - Let's Lock the Door (And Throw Away the Key)
Jay & the Americans - Only in America
Jay & the Americans - She Cried
Jay & the Americans - Some Enchanted Evening
Jay & the Americans - Some Enchanted Evening [Perry Como version]
Jay & the Techniques - Keep the Ball Rollin'
Jay & the Techniques - Apples, Peaches, Pumpkin Pie
Jay Sean - Down [w/Lil Wayne]
Jay-Z - Real as It Gets [w/Young Jeezy]
Jay-Z - Otis [w/Kanye West]
Jay-Z - On to the Next One [w/Swizz Beatz]
Jay-Z - Numb/Encore [w/Linkin Park]
Jay-Z - No Church in the Wild [w/Kanye West & Frank Ocean]
Jay-Z - Lost One [w/Chrisette Michele]
Jay-Z - Roc Boys
Jay-Z - Run This Town [w/Rihanna & Kanye West]
Jay-Z - Show Me What You Got
Jay-Z - Storm [w/Lenny Kravitz]
Jay-Z - Suit and Tie [w/Justin Timberlake]
Jay-Z - Talk That Talk [ft. Rihanna]
Jay-Z - Umbrella [w/Rihanna]
Jay-Z - Upgrade U [w/Beyonc
Jay-Z - Young Forever [w/Mr. Hudson]
Jay-Z - Just Wanna Love U (Give It 2 Me)
Jay-Z - I Know [w/Pharrell]
Jay-Z - 99 Problems
Jay-Z - Back in the Day [w/Missy Elliott]
Jay-Z - 03 Bonnie & Clyde [w/Beyonc
Jay-Z - Big Pimpin' [w/UGK]
Jay-Z - Can I Get A.... [w/Amli & Ja Rule]
Jay-Z - Change Clothes [w/Pharrell]
Jay-Z - Crazy in Love [w/Beyonc
Jay-Z - D
Jay-Z - Dirt Off Your Shoulder
Jay-Z - Empire State of Mind [w/Alicia Keys]
Jay-Z - Excuse Me Miss
Jay-Z - Frontin' [w/Pharrell]
Jay-Z - Get This Money [w/R Kelly]
Jay-Z - Girls Girls Girls
Jay-Z - Holy Grail [w/Justin Timberlake]
Jay-Z - Heartbreaker [w/Mariah Carey]
Jay-Z - Hands Up [w/Lloyd Banks]
Jaye, Courtney - Can't Behave
Jayhawks, The - I'm Gonna Make You Love Me
Jealousy - Lucy
Jean, Wyclef - Gone Til November
Jean, Wyclef - You Know What It Is [w/T.I.]
Jean, Wyclef - Two Wrongs [w/Claudette Ortiz]
Jean, Wyclef - Sweetest Girl [w/Akon & Lil Wayne & Nia]
Jean, Wyclef - Perfect Gentleman
Jean, Wyclef - Party to Damascus [w/Missy Elliott]
Jean, Wyclef -  see also  Fugees, The 
Jean, Wyclef - New Day [w/Bono]
Jean, Wyclef - 911 [w/Mary J Blige]
Jean, Wyclef - Bubblegoose [South Park]
Jean, Wyclef - Hips Don't Lie [w/Shakira]
Jedward - Under Pressure (Ice Ice Baby) [ft.Vanilla Ice]
Jeezy - see  Young Jeezy 
Jeff Healey Band, The - While My Guitar Gently Weeps
Jeff Healey Band, The - Lost in Your Eyes
Jeff Healey Band, The - I Think I Love You Too Much
Jeff Healey Band, The - Confidence Man
Jeff Healey Band, The - Angel Eyes
Jeff Healey Band, The - Blue Jean Blues
Jefferson Airplane - Somebody to Love
Jefferson Airplane - Volunteers
Jefferson Airplane - White Rabbit
Jefferson Starship - Find Your Way Back
Jefferson Starship - Jane
Jefferson Starship - Miracles
Jefferson Starship - Runaway
Jefferson Starship - Count on Me
Jefferson Starship -  see also  Starship 
Jefferson, Paul - I Might Just Make It
Jefferson, Paul - Fear of a Broken Heart
Jefferson, Paul - Check Please
Jekyll & Hyde - Till You Come Into My Life
Jekyll & Hyde - This Is the Moment
Jekyll & Hyde - Someone Like You
Jekyll & Hyde - Once Upon a Dream (Reprise)
Jekyll & Hyde - Once Upon a Dream
Jekyll & Hyde - No One Knows Who I Am
Jekyll & Hyde - New Life, A
Jekyll & Hyde - Love Has Come of Age
Jelly Beans, The - I Wanna Love Him So Bad
Jem - They
Jem - Just a Ride
Jem - 24
Jem - Wish I
Jenkins, Jody - Every Single Thing
Jenkins, The - Getaway Car
Jenkins, The - Blame It on Mama
Jennings, Lyfe - S.E.X. [w/Lala Brown]
Jennings, Lyfe - Must Be Nice
Jennings, Lyfe - Freeze [w/LL Cool J]
Jennings, Shooter - Wild & Lonesome [w/Patty Griffin]
Jennings, Shooter - 4th of July
Jennings, Waylon - One Good Love [w/Neil Diamond]
Jennings, Waylon - On the Road Again [w/Willie Nelson]
Jennings, Waylon - Okie from Muskogee
Jennings, Waylon - Never Could Toe the Mark
Jennings, Waylon - Mamas Don't Let Your Babies Grow Up to be Cowboys [w/Willie Nelson]
Jennings, Waylon - Luckenback, Texas
Jennings, Waylon - Only Daddy That'll Walk the Line
Jennings, Waylon - Rainy Day Woman
Jennings, Waylon - Rose in Paradise
Jennings, Waylon - Shine
Jennings, Waylon - There Ain't No Good Chain Gang [w/Johnny Cash]
Jennings, Waylon - Wrong
Jennings, Waylon - Wurlitzer Prize, The
Jennings, Waylon - You Ask Me To
Jennings, Waylon - You Can Have Her
Jennings, Waylon - Luckenbach, Texas
Jennings, Waylon - Lucille
Jennings, Waylon - Luchenbach, Texas
Jennings, Waylon - Cowboy Movies
Jennings, Waylon - Clyde
Jennings, Waylon - Can't You See
Jennings, Waylon - Bob Wills Is Still the King
Jennings, Waylon - Big River [w/Trick Pony & Johnny Cash]
Jennings, Waylon - Are You Sure Hank Done It This Way
Jennings, Waylon - Are You Ready for the Country
Jennings, Waylon - America
Jennings, Waylon - Amanda
Jennings, Waylon - Don't You Think This Outlaw Bit's..
Jennings, Waylon - Drinkin' and Dreamin'
Jennings, Waylon - I Got You [w/Anita Carter]
Jennings, Waylon - I'm a Ramblin' Man
Jennings, Waylon - I've Always Been Crazy
Jennings, Waylon - Lonesome Orn'ry and Mean
Jennings, Waylon - I Ain't Living Long Like This
Jennings, Waylon - Highwayman [w/Nelson, Cash & Kristofferson]
Jennings, Waylon - Good Ol' Boys (Dukes of Hazzard theme)
Jennings, Waylon - Good Hearted Woman, A [w/Willie Nelson]
Jennings, Waylon - Eagle, The
Jentina - Bad Ass Strippa
Jepsen, Carly Rae - Tonight I'm Getting Over You
Jepsen, Carly Rae - This Kiss
Jepsen, Carly Rae - Good Time [w/Owl City]
Jepsen, Carly Rae - Curiosity
Jepsen, Carly Rae - Call Me Maybe
Jeremih - Birthday Sex
Jeremih - Break Up to Make Up
Jeremih - Imma Star (Everywhere We Are)
Jessie J - Wild [w/Big Sean & Dizzee Rascal]
Jessie J - Who You Are
Jessie J - Up [w/James Morrison]
Jessie J - LaserLight [w/David Guetta]
Jessie J - It's My Party
Jessie J - Domino
Jessie J - Do It Like a Dude
Jessie J - Price Tag [w/BOB]
Jesters, The - On Broadway
Jesus Jones - Real, Real, Real
Jesus Jones - Right Here, Right Now
Jet - Get Me Outta Here
Jet - Are You Gonna Be My Girl
Jet - Sgt. Major
Jet - Rollover DJ
Jet - Cold Hard B-tch
Jet - Look What You've Done
Jet - Put Your Money Where Your Mouth Is
Jethro Tull - Teacher
Jethro Tull - Living in the Past
Jethro Tull - Aqualung
Jethro Tull - Bungle in the Jungle
Jethro Tull - Cross-Eyed Mary
Jethro Tull - Locomotive Breath
Jets, The - Crush on You
Jets, The - You Got It All
Jets, The - Rocket 2 U
Jets, The - Make It Real
Jett, Joan & the Blackhearts - Light of Day
Jett, Joan & the Blackhearts - I Love Rock n' Roll
Jett, Joan & the Blackhearts - I Hate Myself for Loving You
Jett, Joan & the Blackhearts - Fake Friends
Jett, Joan & the Blackhearts - Bad Reputation
Jett, Joan & the Blackhearts - Cherry Bomb
Jett, Joan & the Blackhearts - Crimson & Clover [Tommy James & Shondells version]
Jett, Joan & the Blackhearts - Crimson and Clover
Jett, Joan & the Blackhearts - Dirty Deeds
Jett, Joan & the Blackhearts - Do You Wanna Touch Me (Oh Yeah)
Jewel - Standing Still
Jewel - Sweet Home Alabama
Jewel - That's the Way Love Goes [w/Merle Haggard]
Jewel - This Way
Jewel - What's Simple Is True
Jewel - Who Will Save Your Soul
Jewel - You Were Meant for Me
Jewel - Stand
Jewel - Near You Always
Jewel - Morning Song
Jewel - 2 Become 1
Jewel - Again and Again
Jewel - Angel Standing By
Jewel - Break Me
Jewel - Don't
Jewel - Down So Long
Jewel - Foolish Games
Jewel - Intuition
Jewel - Jupiter
Jewel - Hearts of Stone
Jewel - Hands
Jewel - I'm Sensitive
Jewel, Buddy - Jesus, Elvis and Me
Jewell, Buddy - So Gone
Jewell, Buddy - One Step at a Time
Jewell, Buddy - If She Were Any Other Woman
Jewell, Buddy - Help Pour Out the Rain (Lacey's Song)
Jewell, Buddy - Sweet Southern Comfort
Jezabels - Endless Summer
Jibbs - Go Too Far [w/Melody Thornton]
Jibbs - Chain Hang Low
Jibbs - Dedication (Ay DJ), The [w/Lloyd]
Jigsaw - Sky High
Jilted John - Jilted John
Jim & Jesse - Knoxville Girl
Jimmie's Chicken Shack - Do Right
Jimmy Castor Bunch, The - Bertha Butt Boogie Part 1, The
Jimmy Eat World - Work
Jimmy Eat World - Sweetness
Jimmy Eat World - Praise Chorus, A
Jimmy Eat World - Pain
Jimmy Eat World - Big Casino
Jimmy Eat World - Bleed American
Jimmy Eat World - Futures
Jimmy Eat World - Middle, The
Jive Five, The - My True Story
JJ Fad - Supersonic
JLS - Take a Chance on Me
JLS - She Makes Me Wanna [w/Dev]
JLS - Proud
JLS - One Shot
JLS - Love You More
JLS - Hottest Girl in the World
JLS - Hold Me Down
JLS - Do You Feel What I Feel
JLS - Club Is Alive, The
JLS - Beat Again
JLS - Everybody in Love
JMSN - Love & Pain
Jo, Erika - I Break Things
JoBoxers - Boxer Beat
Jodeci - Stay
Jodeci - Lately
Jodeci - I'm Still Waiting
Jodeci - Get on Up
Jodeci - Forever My Lady
Jodeci - Feelin'
Jodeci - Cry for You
Jodeci - Come & Talk to Me
Joe - My Love
Joe - Stutter [w/Mystikal]
Joe - Thank God I Found You [w/Mariah Carey & 98 Degrees]
Joe - Wanna Get to Know You [w/G-Unit]
Joe - What If a Woman
Joe - Worst Case Scenario
Joe - Majic
Joe - Let's Stay Home Tonight
Joe - If I Was Your Man
Joe - I Wanna Know
Joe - E.R. (Emergency Room)
Joe - Don't Wanna Be a Player
Joe - Dear Joe
Joe - Closer
Joe - All the Things
Joe Jeffrey Group - My Pledge of Love
Joe Zelek Band - Moonshinin'
Joel, Billy - She's Always a Woman to Me
Joel, Billy - Shameless
Joel, Billy - Scenes from an Italian Restaurant
Joel, Billy - Say Goodbye to Hollywood
Joel, Billy - Running on Ice
Joel, Billy - River of Dreams, The
Joel, Billy - Pressure
Joel, Billy - Piano Man
Joel, Billy - Only the Good Die Young
Joel, Billy - New York State of Mind [w/Tony Bennett]
Joel, Billy - New York State of Mind
Joel, Billy - She's Got a Way
Joel, Billy - Sometimes a Fantasy
Joel, Billy - You're Only Human
Joel, Billy - You May Be Right
Joel, Billy - We Didn't Start the Fire
Joel, Billy - Vienna
Joel, Billy - Uptown Girl
Joel, Billy - To Make You Feel My Love
Joel, Billy - This Is the Time
Joel, Billy - Tell Her About It
Joel, Billy - Stranger, The
Joel, Billy - Storm Front
Joel, Billy - Stilletto
Joel, Billy - My Life
Joel, Billy - All About Soul
Joel, Billy - Goodnight Saigon
Joel, Billy - Entertainer, The
Joel, Billy - Downeaster Alexa
Joel, Billy - Don't Ask Me Why
Joel, Billy - Captain Jack
Joel, Billy - Big Shot
Joel, Billy - Ballad of Billy the Kid, The
Joel, Billy - Baby Grand [w/Ray Charles]
Joel, Billy - And So It Goes
Joel, Billy - Always a Woman
Joel, Billy - Allentown
Joel, Billy - Honesty
Joel, Billy - I Go to Extremes
Joel, Billy - Modern Woman
Joel, Billy - Minor Variation, A
Joel, Billy - Miami 2017 (Seen the Lights Go Out on Broadway)
Joel, Billy - Matter of Trust, A
Joel, Billy - Lullabye (Goodnight My Angel)
Joel, Billy - Longest Time, The
Joel, Billy - Leave a Tender Moment Alone
Joel, Billy - Keeping the Faith
Joel, Billy - Just the Way You Are
