C & C Music Factory - Do You Want to Get Funky
C & C Music Factory - Gonna Make You Sweat
C & C Music Factory - Things That Make You Go Hmmm
C Note - Wait Till I Get Home
C-Side - Boyfriend/Girlfriend [w/Keyshia Cole]
Cab, The - Bounce
Captain & Tennille, The - Love Will Keep Us Together
Captain & Tennille, The - Lonely Night (Angel Face)
Captain Sensible - Happy Talk
Cara, Irene - Out Here on My Own
Cara, Irene - Flashdance . . . What a Feeling
Cara, Irene - Fame
Caravelles, The - You Don't Have to Be a Baby to Cry
Carbon Leaf - What About Everything?
Cardigans, The - Your New Cuckoo
Cardigans, The - Lovefool
Cardigans, The - Erase/Rewind
Cardigans, The - Don't Blame Your Daughter
Cardigans, The - My Favorite Game
Cardigans, The - Been It
Cardigans, The - Burnin' Down the House [w/Tom Jones]
Cardle, Matt - Amazing
Cardle, Matt - Its Only Love
Cardle, Matt - Run for Your Life
Cardle, Matt - Starlight
Cardle, Matt - When We Collide
Cardle, Matt - Loving You [w/Melanie C]
Carey, Ian - see  Ian Carey Project 
Carey, Mariah - Open Arms
Carey, Mariah - One, The
Carey, Mariah - One Sweet Day [w/Boyz II Men]
Carey, Mariah - Obsessed
Carey, Mariah - Never Too Far/Hero Medley
Carey, Mariah - Never Too Far
Carey, Mariah - Never Forget You
Carey, Mariah - My All
Carey, Mariah - Music Box
Carey, Mariah - Mine Again
Carey, Mariah - Migrate [w/T-Pain]
Carey, Mariah - Make It Happen
Carey, Mariah - Loverboy [w/Cameo]
Carey, Mariah - Love Takes Time [w/Boyz II Men]
Carey, Mariah - Say Somethin' [w/Snoop Dogg & Pharrell]
Carey, Mariah - Shake It Off
Carey, Mariah - Without You
Carey, Mariah - When You Believe [w/Whitney Houston]
Carey, Mariah - We Belong Together
Carey, Mariah - Vision of Love
Carey, Mariah - Underneath the Stars
Carey, Mariah - U Make Me Wanna [w/Jadakiss]
Carey, Mariah - Touch My Body [w/Rick Ross & The Dream]
Carey, Mariah - Touch My Body
Carey, Mariah - Through the Rain
Carey, Mariah - Thank God I Found You [w/Joe & 98 Degrees]
Carey, Mariah - Someday
Carey, Mariah - So Lonely [w/Twista]
Carey, Mariah - So Blessed
Carey, Mariah - You Need Me
Carey, Mariah - Looking In
Carey, Mariah - Against All Odds
Carey, Mariah - Crybaby
Carey, Mariah - Can't Take That Away (Mariah's Theme)(RV)
Carey, Mariah - Can't Let Go
Carey, Mariah - Bye Bye
Carey, Mariah - Butterfly
Carey, Mariah - Bringing on the Heartbreak
Carey, Mariah - Boy (I Need You)
Carey, Mariah - Beautiful
Carey, Mariah - Anytime You Need a Friend
Carey, Mariah - Angels Cry [w/Ne-Yo]
Carey, Mariah - Always Be My Baby
Carey, Mariah - All in Your Mind
Carey, Mariah - All I Want for Christmas Is You
Carey, Mariah - Don't Forget About Us
Carey, Mariah - Dreamlover
Carey, Mariah - Emotions
Carey, Mariah - I'll Be There [w/Trey Lorenz]
Carey, Mariah - I Want to Know What Love Is
Carey, Mariah - I Still Believe
Carey, Mariah - I Know What You Want [w/BustaRhymes&FlipmodeSquad]
Carey, Mariah - I Don't Wanna Cry
Carey, Mariah - Honey
Carey, Mariah - Hero
Carey, Mariah - Heartbreaker [w/Jay-Z]
Carey, Mariah - H.A.T.E. U
Carey, Mariah - Forever
Carey, Mariah - Fly Like a Bird
Carey, Mariah - Fantasy
Carey, Mariah - Endless Love [w/Luther Vandross]
Carey, Mariah - It's Like That
Cargill, Henson - Skip a Rope
Carlile, Brandi - Story, The
Carlile, Brandi - Turpentine
Carlisle, Belinda - We Want the Same Thing
Carlisle, Belinda - Summer Rain
Carlisle, Belinda - Mad About You
Carlisle, Belinda - Leave a Light On
Carlisle, Belinda - La Luna
Carlisle, Belinda - In Too Deep
Carlisle, Belinda - I Get Weak
Carlisle, Belinda - Heaven Is a Place on Earth
Carlisle, Belinda - Circle in the Sand
Carlisle, Belinda -  see also  Go-Go's, The 
Carlisle, Bob - Lately (Dreaming About Babies)
Carlisle, Bob - Father's Love
Carlisle, Bob - Christmas Shoes, The
Carlisle, Bob - Butterfly Kisses
Carll, Hayes - Bible On the Dash [w/Corb Lund]
Carlos, Roberto - Gato en la Oscuridad, Un
Carlos, Roberto - Mujer Pequena
Carlson, Katrina - Suddenly Beautiful
Carlson, Paulette - Not with My Heart You Don't
Carlton, Carl - She's a Bad Mama Jama (Part 2)
Carlton, Carl - She's a Bad Mama Jama (Part 1)
Carlton, Carl - She's a Bad Mama Jama
Carlton, Vanessa - White Houses
Carlton, Vanessa - Thousand Miles, A
Carlton, Vanessa - Pretty Baby
Carlton, Vanessa - Ordinary Day
Carlton, Vanessa - Carousel
Carlton, Vanessa - Big Yellow Taxi [w/Counting Crows]
Carmel - More More More
Carmen, Eric - Never Gonna Fall in Love Again
Carmen, Eric - Make Me Lose Control
Carmen, Eric - Hungry Eyes
Carmen, Eric - Change of Heart
Carmen, Eric - All By Myself
Carnes, Kim - Don't Fall in Love with a Dreamer [w/Kenny Rogers]
Carnes, Kim - Crazy in the Night
Carnes, Kim - Bette Davis Eyes
Carolina Liar - Show Me What I Am Looking For
Carolina Liar - Drown
Carolina Rain - American Radio
Carolina Rain - Get Outta My Way
Carolina Rain - Isn't She
Caroline's Spine - Nothing to Prove
Carpenter, Mary Chapin - Quittin' Time
Carpenter, Mary Chapin - Passionate Kisses
Carpenter, Mary Chapin - Only a Dream
Carpenter, Mary Chapin - Not Too Much to Ask [w/Joe Diffie]
Carpenter, Mary Chapin - My Dear Old Friend
Carpenter, Mary Chapin - Right Now
Carpenter, Mary Chapin - Shut Up and Kiss Me
Carpenter, Mary Chapin - Something of a Dreamer
Carpenter, Mary Chapin - Stones in the Road
Carpenter, Mary Chapin - Tender When I Want to Be
Carpenter, Mary Chapin - This Is Me Leaving You
Carpenter, Mary Chapin - You Win Again
Carpenter, Mary Chapin - Let Me Into Your Heart
Carpenter, Mary Chapin - John Doe No. 24
Carpenter, Mary Chapin - Almost Home
Carpenter, Mary Chapin - Bug, The
Carpenter, Mary Chapin - Come on Come On
Carpenter, Mary Chapin - Down at the Twist & Shout
Carpenter, Mary Chapin - Flesh and Blood [w/Sheryl Crow & Emmylou Harris]
Carpenter, Mary Chapin - Going Out Tonight
Carpenter, Mary Chapin - Grow Old with Me
Carpenter, Mary Chapin - Hard Way, The
Carpenter, Mary Chapin - I Want to Be Your Girlfriend
Carpenter, Mary Chapin - I Take My Chances
Carpenter, Mary Chapin - I Feel Lucky
Carpenter, Mary Chapin - House of Cards
Carpenter, Mary Chapin - He Thinks He'll Keep Her
Carpenters, The - Superstar
Carpenters, The - There's a Kind of Hush
Carpenters, The - They Long to Be Close to You
Carpenters, The - Ticket to Ride
Carpenters, The - Top of the World
Carpenters, The - Touch Me When We're Dancing
Carpenters, The - We've Only Just Begun
Carpenters, The - What the World Needs Now Is Love
Carpenters, The - Yesterday Once More
Carpenters, The - Solitaire
Carpenters, The - Sing
Carpenters, The - Rainy Days and Mondays
Carpenters, The - Calling Occupants of Interplanetary Craft
Carpenters, The - Close to You
Carpenters, The - For All We Know
Carpenters, The - Goodbye to Love
Carpenters, The - Hurting Each Other
Carpenters, The - I Won't Last a Day Without You
Carpenters, The - It's Going to Take Some Time
Carpenters, The - Jambalaya (On the Bayou)
Carpenters, The - Merry Christmas Darling
Carpenters, The - Please Mr. Postman
Carr, Jekalyn - Greater Is Coming
Carr, Pearl & Teddy Johnson - Sing Little Birdie
Carr, Vikki - Yo Sego Siendo Como Soy
Carr, Vikki - Vamos de Frente
Carr, Vikki - Otra Vez Enamorada
Carr, Vikki - It Must Be Him
Carr, Vikki - I'll Wait for You
Carr, Vikki - For Once in My Life
Carr, Vikki - Cuando Caliente el Sol
Carr, Vikki - Cosas del Amor
Carrack, Paul - Don't Shed a Tear
Carrack, Paul - For Once in Our Lives
Carrey, Jim - Cuban Pete
Carrington, Rodney - Who Put the Dick on the Snowman
Carrington, Rodney - Show Them to Me
Carrington, Rodney - Morning Wood
Carrington, Rodney - More of a Man
Carrington, Rodney - Letter to My Penis
Carrington, Rodney - Great to Be a Man
Carrington, Rodney - Fred
Carrington, Rodney - Dancing with a Man
Carroll, Dina - Without Love
Carroll, Dina - So Close
Carroll, Dina - Perfect Year, The
Carroll, Dina - Perfect Year
Carroll, Dina - Ain't No Man
Carroll, Jason Michael - Where I'm From
Carroll, Jason Michael - Numbers
Carroll, Jason Michael - Livin' Our Love Song
Carroll, Jason Michael - I Can Sleep When I'm Dead
Carroll, Jason Michael - Hurry Home
Carroll, Jason Michael - Alyssa Lies
Carroll, Ronnie - Roses Are Red
Carrott, Jasper - Funky Moped/Magic Roundabout
Cars, The - Shake It Up
Cars, The - Since You're Gone
Cars, The - Tonight She Comes
Cars, The - You Might Think
Cars, The - My Best Friend's Girl
Cars, The - Moving in Stereo
Cars, The - Magic
Cars, The - Dangerous Type
Cars, The - Drive
Cars, The - Good Times Roll
Cars, The - Just What I Needed
Cars, The - Let's Go
Carson, Jeff - Yeah Buddy
Carson, Jeff - Until We Fall Back in Love Again
Carson, Jeff - That Last Mile
Carson, Jeff - Shine On
Carson, Jeff - Real Life (I Never Was the Same Again)
Carson, Jeff - Not on Your Love
Carson, Jeff - I Can Only Imagine
Carson, Jeff - Holdin' on to Something
Carson, Jeff - Cheatin' on Her Heart
Carson, Jeff - Car, The
Cartana, Alex - Hey Papi
Cartel - Honestly
Carter's Chord - Different Breed
Carter's Chord - Young Love
Carter, Aaron - That's How I Beat Shaq
Carter, Aaron - Summertime
Carter, Aaron - Stride (Jump on the Frizzy) [w/No Secrets]
Carter, Aaron - Saturday Night
Carter, Aaron - Oh Aaron [w/No Secrets]
Carter, Aaron - Not Too Young, Not Too Old [w/Nick Carter]
Carter, Aaron - I'm All About You
Carter, Aaron - I Want Candy
Carter, Aaron - How I Beat Shaq
Carter, Aaron - Feel the Rain [w/Dreamstreet]
Carter, Aaron - Aaron's Party Come and Get It
Carter, Aaron - Bounce
Carter, Aaron - American a O
Carter, Anita - I Got You [w/Waylon Jennings]
Carter, Carlene - Unbreakable Heart
Carter, Carlene - Something Already Gone
Carter, Carlene - I Love You 'Cause I Want To
Carter, Carlene - Hurricane
Carter, Carlene - Every Little Thing
Carter, Carlene - Come on Back
Carter, Carlene - I Fell in Love
Carter, Clarence - Kiss You All Over
Carter, Clarence - Back Door Santa
Carter, Clarence - I Fell in Love
Carter, Clarence - Strokin'
Carter, Clarence - Slip Away
Carter, Clarence - Patches
Carter, Deana - You Still Shake Me
Carter, Deana - We Danced Anyway
Carter, Deana - There's No Limit
Carter, Deana - That's How You Know It's Love
Carter, Deana - Strawberry Wine
Carter, Deana - One Day at a Time
Carter, Deana - I'm Just a Girl
Carter, Deana - Absence of the Heart
Carter, Deana - Angels Working Overtime
Carter, Deana - Before We Ever Said Goodbye
Carter, Deana - Count Me In
Carter, Deana - Did I Shave My Back for This [Cledus T. Judd parody)
Carter, Deana - Did I Shave My Legs for This?
Carter, Deana - How Do I Get There
Carter, Mel - When You're Gone [w/Bryan Adams]
Carter, Mel - Northern Star
Carter, Mel - Never Be the Same Again [w/Left Eye]
Carter, Mel - Ga Ga
Carter, Mel - Goin' Down
Carter, Mel - Hold Me, Thrill Me, Kiss Me
Carter, Mel - I Turn to You
Carter, Nick - Help Me
Carter, Nick - Not Too Young, Not Too Old [w/Aaron Carter]
Carter, Nick - Do I Have to Cry for You
Carter, Nick -  see also  Backstreet Boys 
Cartoons - Doodah!
Cartoons - Witch Doctor
Cartwright, Lionel - What Kind of Fool
Cartwright, Lionel - Standing on the Promises
Cartwright, Lionel - Leap of Faith
Cartwright, Lionel - I Watched It All (On My Radio)
Cartwright, Lionel - Give Me His Last Chance
Cartwright, Lionel - Be My Angel
Cascada - What Hurts the Most
Cascada - Truly Madly Deeply
Cascada - Neverending Dream, A
Cascada - Miracle (radio mix)
Cascada - Fever
Cascada - Faded
Cascada - Everytime We Touch
Cascada - Evacuate the Dancefloor
Cascades, The - Rhythm of the Rain
Case - Touch Me Tease Me
Case - Missing You
Case - Lovely
Case - Happily Ever After
Cash (Ca$h) - Walk wit a Dip
Cash, Johnny - Ring of Fire
Cash, Johnny - Orange Blossom Special
Cash, Johnny - Oney
Cash, Johnny - One Piece at a Time
Cash, Johnny - One on the Right Is on the Left, The
Cash, Johnny - Man in Black
Cash, Johnny - Luther Played the Boogie
Cash, Johnny - Jackson [w/June Carter Cash]
Cash, Johnny - Jackson [Joaquin Phoenix & Reese Witherspoon version]
Cash, Johnny - I Walk the Line [w/Rodney Crowell]
Cash, Johnny - San Quentin
Cash, Johnny - September When It Comes [w/Roseanne Cash]
Cash, Johnny - Word Called Love, A
Cash, Johnny - Why Me Lord
Cash, Johnny - What Is Truth
Cash, Johnny - Understand Your Man
Cash, Johnny - Tree's on Fire (Cledus T. Judd parody of Ring of Fire)
Cash, Johnny - Thing Called Love, A
Cash, Johnny - There You Go
Cash, Johnny - There Ain't No Good Chain Gang [w/Waylon Jennings]
Cash, Johnny - Sunday Morning Coming Down
Cash, Johnny - So Doggone Lonesome
Cash, Johnny - I Walk the Line
Cash, Johnny - I Got Stripes
Cash, Johnny - Drive On
Cash, Johnny - Don't Take Your Guns to Town
Cash, Johnny - Daddy Sang Bass
Cash, Johnny - Cocaine Blues
Cash, Johnny - Boy Named Sue, A
Cash, Johnny - Big River [w/Trick Pony & Waylon Jennings]
Cash, Johnny - Ballad of Ira Hayes, The
Cash, Johnny - Ballad of a Teenage Queen
Cash, Johnny - Away in a Manger
Cash, Johnny - Any Old Wind That Blows
Cash, Johnny - Father & Son [w/Fiona Apple]
Cash, Johnny - Flesh & Blood
Cash, Johnny - 25 Minutes to Go
Cash, Johnny - Hurt
Cash, Johnny - Honk Tonk Girl
Cash, Johnny - Highwayman [w/Jennings, Nelson & Kristofferson]
Cash, Johnny - Guess Things Happen That Way
Cash, Johnny - God's Gonna Cut You Down
Cash, Johnny - Give My Love to Rose
Cash, Johnny - Ghost Riders in the Sky
Cash, Johnny - Get Rhythm
Cash, Johnny - For You [w/Dave Matthews]
Cash, Johnny - Folsom Prison Blues
Cash, Rosanne - Runaway Train
Cash, Rosanne - September When It Comes [w/Johnny Cash]
Cash, Rosanne - Seven Year Ache
Cash, Rosanne - Tennessee Flat Top Box
Cash, Rosanne - Never Be You
Cash, Rosanne - My Baby Thinks He's a Train
Cash, Rosanne - I Don't Want to Spoil the Party
Cash, Rosanne - Blue Moon with Heartache
Cash, Rosanne - I Don't Know Why You Don't Want Me
Cash, Rosanne - If You Change Your Mind
Cash, Rosanne - It's Such a Small World [w/Rodney Crowell]
Cashman and West - American City Suite
Casinos, The - Then You Can Tell Me Goodbye
Cass, Mama - see  Mamas & the Papas, The 
Cassar-Daley, Troy - I Love This Place
Cassidy - My Drink n' My 2 Step [w/Swizz Beatz]
Cassidy, David - Could It Be Forever
Cassidy, David - No Bridge I Wouldn't Cross
Cassidy, David - Last Kiss, The
Cassidy, David - I Am a Clown
Cassidy, David - How Can I Be Sure
Cassidy, David - Daydreamer
Cassidy, Eva - Penny to My Name
Cassidy, Eva - People Get Ready
Cassidy, Eva - Songbird
Cassidy, Eva - Tennessee Waltz
Cassidy, Eva - Time After Time
Cassidy, Eva - Time Is a Healer
Cassidy, Eva - Wade in the Water
Cassidy, Eva - Wayfaring Stranger
Cassidy, Eva - What a Wonderful World
Cassidy, Eva - What a Wonderful World [w/Katie Melua]
Cassidy, Eva - Who Knows Where the Time Goes
Cassidy, Eva - You Don't Know Me [w/David Gray]
Cassidy, Eva - Over the Rainbow
Cassidy, Eva - Natural Woman
Cassidy, Eva - Kathy's Song
Cassidy, Eva - Ain't No Sunshine
Cassidy, Eva - At Last
Cassidy, Eva - Autumn Leaves
Cassidy, Eva - Blue Skies
Cassidy, Eva - Bridge Over Troubled Water
Cassidy, Eva - Danny Boy
Cassidy, Eva - Early Morning Rain
Cassidy, Eva - Fever [w/Chuck Brown]
Cassidy, Eva - Fields of Gold
Cassidy, Eva - I Know You By Heart
Cassidy, Eva - I Wandered By a Brookside
Cassidy, Eva - Imagine
Cassidy, Eva - It Doesn't Matter Anymore
Cassie - You Don't Know Me [w/Eva Cassidy]
Cassie - Must Be Love [w/Diddy]
Cassie - Me & U
Cassie - Addiction [w/Ryan Leslie & Fabolous]
Cassie - Long Way 2 Go
Cast - Walkaway
Castaways - Liar Liar
Casting Crowns - By His Wounds [w/Mac Powell]
Casting Crowns - Who Am I
Castro, Christian - Por Amarte Asi
Castro, Jason - Only a Mountain
Castro, Willy - Por Mujeres Como T
Casuals, The - Jesamine
Cat Empire, The - Sly
Cat Empire, The - No Longer There
Catatonia - Strange Glue
Catatonia - Stone By Stone
Catatonia - Road Rage
Catatonia - Mulder and Scully
Catatonia - Londinium
Catatonia - Karaoke Queen
Catatonia - Dead From the Waist Down
Catatonia - Ballad of Tom Jones [Space & Cerys Matthews]
Catherine Wheel, The - Sparks Are Gonna Fly
Catterfeld, Yvonne - Fur Dich
Cause & Effect - It's Over Now
Cause & Effect - It's All Over
Cave In - Anchor
Cave, Nick - Where the Wild Roses Grow [w/Kylie Minogue]
Caviar - Tangerine Speedo
Cavo - Champagne
Cavo - Let It Go
Ceballo, Kevin - Mi Primer Amor (Salsa)
Celines - Amigos
Cespedes, Francisco - Donde Esta la Vida
Cetera, Peter - One Clear Voice
Cetera, Peter - Next Time I Fall, The [w/Amy Grant]
Cetera, Peter - Last Night [w/Az Yet]
Cetera, Peter - Hard to Say I'm Sorry [w/Az Yet]
Cetera, Peter - Glory of Love, The
Cetera, Peter - Forever Tonight [w/Crystal Bernard]
Cetera, Peter - Feels Like Heaven [w/Chaka Khan]
Cetera, Peter - After All [w/Cher]
Cetera, Peter -  see also  Chicago 
Chad & Jeremy - Summer Song, A
Chain, Michael - Becky Takes Off Her Clothes
Chairmen of the Board, The - You Got Me Dangling on a String
Chairmen of the Board, The - Give Me Just a Little More Time
Chairmen of the Board, The - Carolina Girls [w/General Johnson]
Chaka Demus & Pliers - Murder She Wrote
Cham - Ghetto Story [w/Alicia Keys]
Cham - I Fell in Love with the DJ [w/Che'Nelle]
Chambers Brothers, The - Time Has Come Today
Chambers, Kasey - I Still Pray
Chambers, Kasey - Little Bit Lonesome
Chambers, Kasey - Nothing at All
Chambers, Kasey - On a Bad Day
Chambers, Kasey - Rattlin' Bones
Chambers, Kasey - Not Pretty Enough
Chamillionaire - That Girl [w/Frankie J & Mannie Fresh]
Chamillionaire - Ridin' [ft. Krayzie Bone]
Chamillionaire - Get Up [w/Ciara]
Chamillionaire - Hip Hop Police [w/Slick Rick]
Champaign - How 'bout Us
Champs, The - Tequila
Chandler, Gene - Duke of Earl
Chandler, Gene - Get Down
Chandler, Gene - Groovy Situation
Chanel, Bruce - Hey Baby
Chanel, Bruce - Keep On
Change - Lover's Holiday, A
Changing Faces - G.H.E.T.T.O.U.T.
Channel, Bruce - Hey Baby
Channels - That's My Desire
Chantels - Look in My Eyes
Chantels - Maybe
Chapin, Harry - W*O*L*D*
Chapin, Harry - Taxi
Chapin, Harry - Sequel
Chapin, Harry - Cat's in the Cradle
Chapin, Harry - 30,000 Pounds of Bananas
Chapman, Beth Nielsen - Shake My Soul
Chapman, Beth Nielsen - Sand and Water
Chapman, Beth Nielsen - In the Time It Takes
Chapman, Beth Nielsen - Happy Girl
Chapman, Steven Curtis - We Fall Down [w/Chris Tomlin]
Chapman, Steven Curtis - How Do I Love Her
Chapman, Steven Curtis - Great Adventure, The
Chapman, Steven Curtis - Go There with You
Chapman, Steven Curtis - Dive
Chapman, Tracy - Wedding Song, The
Chapman, Tracy - Telling Stories (Fiction in the Space Between)
Chapman, Tracy - Talkin' 'Bout a Revolution
Chapman, Tracy - Smoke and Ashes
Chapman, Tracy - Fast Car
Chapman, Tracy - Give Me One Reason
Chapman, Tracy - New Beginning
Charlatans (UK), The - Only One I Know, The
Charlene - I've Never Been to Me
Charles & Eddie - Would I Lie to You
Charles, Jimmy - Million to One, A
Charles, Ray - Take These Chains from My Heart
Charles, Ray - Sorry Seems to Be the Hardest Words [w/Elton John]
Charles, Ray - Song for You, A
Charles, Ray - Shake a Tailfeather
Charles, Ray - Seven Spanish Angels [w/Willie Nelson]
Charles, Ray - Nightime Is the Right Time
Charles, Ray - Lonely Ave
Charles, Ray - Mess Around
Charles, Ray - Unchain My Heart
Charles, Ray - What'd I Say
Charles, Ray - What'd I Say (Part 1)
Charles, Ray - Yesterday
Charles, Ray - You Are My Sunshine
Charles, Ray - You Don't Know Me
Charles, Ray - Your Cheatin' Heart
Charles, Ray - This Little Girl of Mine
Charles, Ray - Let's Go Get Stoned
Charles, Ray - I've Got a Woman
Charles, Ray - It Had to Be You
Charles, Ray - Baby Grand [w/Billy Joel]
Charles, Ray - Baby, It's Cold Outside [w/Betty Carter]
Charles, Ray - Born to Lose
Charles, Ray - Busted
Charles, Ray - Cryin' Time
Charles, Ray - Don't Set Me Free
Charles, Ray - Drown in My Own Tears
Charles, Ray - Georgia on My Mind
Charles, Ray - Hallelujah I Love Her So
Charles, Ray - I'll Be Good to You [w/Chaka Khan]
Charles, Ray - I Got a Woman
Charles, Ray - I Can't Stop Loving You
Charles, Ray - I Believe to My Soul
Charles, Ray - Hit the Road, Jack
Charles, Ray - Here We Go Again [w/Norah Jones]
Charles, Ray - Here We Go Again
Charles, Ray - America the Beautiful
Charles, Tina - Dr. Love
Charles, Tina - I Love to Love
Charli XCX - I Love It [w/Icona Pop]
Charlie Daniels Band, The - All Night Long [w/Montgomery Gentry]
Charlie Daniels Band, The - Uneasy Rider
Charlie Daniels Band, The - This Ain't No Rag, It's a Flag
Charlie Daniels Band, The - Still in Saigon
Charlie Daniels Band, The - South's Gonna Do It Again, The
Charlie Daniels Band, The - Southern Boy [w/Travis Tritt]
Charlie Daniels Band, The - Simple Man
Charlie Daniels Band, The - Long Haired Country Boy
Charlie Daniels Band, The - Legend of Wooley Swamp, The
Charlie Daniels Band, The - Last Fallen Hero, The
Charlie Daniels Band, The - In America
Charlie Daniels Band, The - Drinkin' My Baby Goodbye
Charlie Daniels Band, The - Devil Went Down to Georgia, The
Chas & Dave - Gertcha
Chas & Dave - Snooker Loopy
Chasez, JC - Some Girls (Dance with Women)
Chasez, JC - Blowin' Me Up
Chasez, JC -  see also  N Sync 
Chavalier, Maurice - Thank Heaven for Little Girls
Chayanne - You Are My Home [w/Vanessa Williams]
Chayanne - Yo Te Amo
Chayanne - Y T
Chayanne - Un Siglo Sin Ti
Chayanne - Salome
Chayanne - Dejaria Todo
Chayanne - Atado a Tu Amor
Chayanne - Candela
Chayanne - Cuidarte el Alma
Chayanne - Dame [w/Jennifer Lopez]
