Wagner, Jack - All I Need
Wanted, The - All Time Low
Wanz - Tell Me One More Time
War - Why Can't We Be Friends
War - Spill the Wine [w/Eric Burdon]
War - Slippin' Into Darkness
War - Low Rider
War - Cisco Kid, The
Ward, Anita - Ring My Bell
Ward, Billy & the Dominoes - Stardust
Ward, Chris - When You Get to Be You
Ward, Chris - Fall Reaching
Ward, Shayne - Breathless
Ward, Shayne - If That's OK with You
Ward, Shayne - No U Hang Up
Ward, Shayne - That's My Goal
Ward, ZZ - 365 Days
Warden, Monte - Someday
Ware, Jessie - Wildest Moments
Wariner, Steve - There for Awhile
Wariner, Steve - That's How You Know When Love's Right [w/Nicolette Larson]
Wariner, Steve - Starting Over Again
Wariner, Steve - Some Fools Never Learn
Wariner, Steve - Snowfall on the Sand
Wariner, Steve - Small Town Girl
Wariner, Steve - Road Trippin'
Wariner, Steve - Lynda
Wariner, Steve - Tips of My Fingers, The
Wariner, Steve - Two Teardrops
Wariner, Steve - You Can Dream of Me
Wariner, Steve - Workin' Man's Blues [w/DiamondRio & LeeRoyParnell]
Wariner, Steve - Woman Loves, A
Wariner, Steve - Where Did I Go Wrong
Wariner, Steve - When I Could Come Home to You
Wariner, Steve - What If I Said [w/Anita Cochran]
Wariner, Steve - What I Didn't Do
Wariner, Steve - Weekend, The
Wariner, Steve - Like a River to the Sea
Wariner, Steve - Life's Highway
Wariner, Steve - Every Little Whisper
Wariner, Steve - Drivin' and Cryin'
Wariner, Steve - Drive
Wariner, Steve - Domino Theory, The
Wariner, Steve - Burnin' the Roadhouse Down [w/Garth Brooks]
Wariner, Steve - Been There [w/Clint Black]
Wariner, Steve - B-B-Burnin' Up I Go Wrong
Wariner, Steve - All Roads Lead to You
Wariner, Steve - Faith in You
Wariner, Steve - Heart Trouble
Wariner, Steve - Leave Him Out of This
Wariner, Steve - Katie Wants a Fast One [w/Garth Brooks]
Wariner, Steve - It Won't Be Over You
Wariner, Steve - I'm Your Man
Wariner, Steve - I'm Already Taken
Wariner, Steve - If I Didn't Love You
Wariner, Steve - I Got Dreams
Wariner, Steve - Holes in the Floor of Heaven
Warner, Hayley - Good Day
Warnes, Jennifer - Up Where We Belong [w/Joe Cocker]
Warnes, Jennifer - Time of My Life, (I've Had) the [w/Bill Medley]
Warnes, Jennifer - Right Time of the Night
Warnes, Jennifer - I Know a Heartache When I See One
Warrant - Uncle Tom's Cabin
Warrant - Sometimes She Cries
Warrant - I Saw Red
Warrant - Heaven
Warrant - Down Boys
Warrant - Cherry Pie
Warren Brothers, The - Where Does It Hurt
Warren Brothers, The - That's the Beat of a Heart [w/Sara Evans]
Warren Brothers, The - She Wants to Rock
Warren Brothers, The - Sell a Lot of Beer
Warren Brothers, The - Move On
Warren Brothers, The - Hey Mr. President
Warren Brothers, The - Guilty
Warren Brothers, The - Break the Record
Warren Brothers, The - Better Man, A
Warren G - Regulate [w/Nate Dogg]
Warren, Darren - Cowboy Up and Party Down
Warren, Ellie - Shattered Glass
Warshauer, Laura - Wishing Well
Warwick, Dionne - Promises, Promises
Warwick, Dionne - Raindrops Keep Fallin' on My Head [w/Kelis]
Warwick, Dionne - That's What Friends Are for [w/Stevie Wonder]
Warwick, Dionne - Then Came You [w/The Spinners]
Warwick, Dionne - This Girl Is in Love with You
Warwick, Dionne - This Guy's in Love with You [w/Herb Alpert]
Warwick, Dionne - Trains & Boats & Planes
Warwick, Dionne - Valley of the Dolls
Warwick, Dionne - Walk on By
Warwick, Dionne - You'll Never Get to Heaven (If You Break My Heart)
Warwick, Dionne - Message to Michael
Warwick, Dionne - Make It Easy on Yourself
Warwick, Dionne - I'll Never Love This Way Again
Warwick, Dionne - Alfie
Warwick, Dionne - All the Love in the World
Warwick, Dionne - Anyone Who Had a Heart
Warwick, Dionne - D
Warwick, Dionne - Do You Know the Way to San Jose?
Warwick, Dionne - Don't Make Me Over
Warwick, Dionne - Heartbreaker
Warwick, Dionne - I Just Don't Know What to Do with Myself
Warwick, Dionne - I Say a Little Prayer
Warwick, Dionne - I'll Never Fall in Love Again
Was (Not Was) - Walk the Dinosaur
Wash, Martha - I've Got You
Washington, Dinah - What a Difference a Day Makes
Washington, Dinah - Rocking Good Way, A [w/Brook Benton]
Washington, Dinah - Broken Hearted Melody
Washington, Dinah - Baby, You've Got What It Takes [w/Brook Benton]
Washington, Grover Jr. - Just the Two of Us [w/Bill Withers]
Washington, Keith - Stay in My Corner
WASP - Animal (F-ck Like a Beast)
WASP - I Wanna Be Somebody
Waterman, Dennis - Minder
Waterman, Dennis - I Could Be So Good for You
Waters, Crystal - 100% Pure Love
Waters, Crystal - Destination Calabria [w/Alex Gaudino]
Waters, Crystal - Gypsy Woman (La Da Dee)
Waters, Crystal - Say...If You Feel Alright
Waters, Ethel - Am I Blue?
Waters, Muddy - Got My Mojo Workin'
Waters, Muddy - Hoochie Coochie Man
Waters, Muddy - Mannish Boy
Waters, Muddy - Rollin' & Tumblin'
Watkins, Tionne  T-Boz  - My Getaway
Watley, Jody - Your Love Keeps Working on Me
Watley, Jody - When a Man Loves a Woman
Watley, Jody - Some Kind of Lover
Watley, Jody - Real Love
Watley, Jody - Looking for a New Love
Watley, Jody - Everything
Watley, Jody - Don't You Want Me
Watson, Dale - Country My Ass
Watson, Gene - Pick the Wildwood Flower
Watson, Gene - Paper Roses
Watson, Gene - Over There
Watson, Gene - One Sided Conversation
Watson, Gene - Old Man and His Horn, The
Watson, Gene - Shine From the Mountain
Watson, Gene - Should I Come Home or Should I Just Go Crazy
Watson, Gene - This Dream's on Me
Watson, Gene - What She Don't Know Won't Hurt Her
Watson, Gene - Where Love Begins
Watson, Gene - You Gave Me a Mountain
Watson, Gene - You're Just Another Beer Drinking Song
Watson, Gene - Nothing Sure Looked Good on You
Watson, Gene - No Trash in My Trailer
Watson, Gene - Next to Nothing
Watson, Gene - Between This Time and the Next Time
Watson, Gene - City, The
Watson, Gene - Climb Higher
Watson, Gene - Farewell Party
Watson, Gene - Fourteen Carat Mind
Watson, Gene - Got No Reason Now for Goin' Home
Watson, Gene - I Don't Need a Thing at All
Watson, Gene - Jesus Is All I Need
Watson, Gene - Jukebox Played Along, The
Watson, Gene - Love in the Hot Afternoon
Watson, Gene - Maybe I Should Have Been Listening
Watson, Gene - Memories to Burn
Watson, Johnny - Ain't That a B-tch
Watson, Russell - Where My Heart Will Take Me
Watson, Wayne - Another Time Another Place [w/Sandi Patty]
Watson, Wayne - When God's People Pray
Wax - Bridge to Your Heart
Wayne, Jimmy - You Are
Wayne, Jimmy - Stay Gone
Wayne, Jimmy - Paper Angels
Wayne, Jimmy - Just Knowing You Love Me [w/Whitney Duncan]
Wayne, Jimmy - I'll Be That
Wayne, Jimmy - I Will
Wayne, Jimmy - I Love You This Much
We Are Scientists - After Hours
We Five - You Were on My Mind
We the Kings - Secret Valentine
Weather Girls, The - It's Raining Men
Weaver, Patty - Joy to the World
Webb, Marti - Take That Look Off Your Face
Webbe, Simon -  see also  Blue 
Webbe, Simon - After All This Time
Webbe, Simon - Lay Your Hands
Webbe, Simon - No Worries
Webbie - Wipe Me Down [w/Lil Boosie & Foxx]
Webbie - Independent [w/Lil Boosie]
Weber, Joan - Let Me Go Lover
Webstar - Dancin on Me [w/Jim Jones & Juelz Santana]
Wedlock, Fred - Oldest Swinger in Town, The
Weekend, The - Crew Love [w/Drake]
Weezer - Photograph
Weezer - Pork and Beans
Weezer - Say It Ain't So
Weezer - This Is Such a Pity
Weezer - Undone-The Sweater Song
Weezer - We Are All on Drugs
Weezer - Perfect Situation
Weezer - Keep Fishin'
Weezer - Island in the Sun
Weezer - I'm Your Daddy
Weezer - I Want You To, (If You're Wondering if I Want You To)
Weezer - Hash Pipe
Weezer - Dope Nose
Weezer - Buddy Holly
Weezer - Beverly Hills
Welch, Bob - Sentimental Lady
Welch, Bob - Ebony Eyes
Welch, Lenny - Since I Fell for You
Welk, Lawrence - Alley Cat
Weller, Freddy - Games People Play, The
Weller, Paul - You Do Something to Me
Weller, Paul - Wild Wood, The
Weller, Paul - Thinking of You
Weller, Paul - It's Written in the Stars
Weller, Paul - Changingman, The
Weller, Paul - Broken Stones
Wells, Junior - Messin' with the Kid
Wells, Kitty - You Don't Hear
Wells, Kitty - Will Your Lawyer Talk to God
Wells, Kitty - Searching for Someone Like You
Wells, Kitty - Password
Wells, Kitty - One By One [w/Red Foley]
Wells, Kitty - Mommy for a Day
Wells, Kitty - Making Believe
Wells, Kitty - It Wasn't God Who Made Honky Tonk Angels
Wells, Kitty - Heartbreak USA
Wells, Kitty - Amigo's Guitar
Wells, Mary - You Beat Me to the Punch
Wells, Mary - Two Lovers
Wells, Mary - One Who Really Loves You, The
Wells, Mary - My Guy
Wells, Mary - Don't Mess with Bill
Wesley, James - Jackson Hole
Wesley, Kenny - Won't Let It Go
West Side Story - Tonight
West Side Story - Somewhere
West Side Story - Something's Coming
West Side Story - One Hand One Heart
West Side Story - Maria
West Side Story - I Feel Pretty
West Side Story - Gee Officer Krupke
West, Dottie - Would You Hold It Against Me
West, Dottie - What Are We Doin' in Love [w/Kenny Rogers]
West, Dottie - Together Again [w/Kenny Rogers]
West, Dottie - Til I Can Make It on My Own [w/Kenny Rogers]
West, Dottie - Sometimes When We Touch
West, Dottie - Lesson in Leavin', A
West, Dottie - Here Comes My Baby
West, Dottie - Every Time Two Fools Collide [w/Kenny Rogers]
West, Dottie - Country Sunshine
West, Dottie - Before the Ring on Your Finger Turns Green
West, Dottie - Are You Happy Baby
West, Dottie - Anyone Who Isn't Me Tonight [w/Kenny Rogers]
West, Dottie - All I Ever Need Is You [w/Kenny Rogers]
West, Emily - That Kind of Happy
West, Emily - Rocks in Your Shoes
West, Emily - Blue Sky [w/Keith Urban]
West, Kanye - Number One [w/Pharrell]
West, Kanye - Otis [w/Jay-Z]
West, Kanye - Paranoid [w/Mr. Hudson]
West, Kanye - Put On [w/Young Jeezy]
West, Kanye - Run This Town [w/Jay-Z & Rihanna]
West, Kanye - Selfish [w/Slum Village & John Legend]
West, Kanye - Slow Jamz [w/Twista & Jamie Foxx]
West, Kanye - Stronger
West, Kanye - Supernova [w/Mr. Hudson]
West, Kanye - Talk About Our Love [w/Brandy]
West, Kanye - This Way [w/Dilated Peoples]
West, Kanye - Through the Wire
West, Kanye - Touch the Sky
West, Kanye - Walking on the Moon [w/Dream]
West, Kanye - Wouldn't Get Far [w/The Game]
West, Kanye - No Church in the Wild [w/Jay-Z & Frank Ocean]
West, Kanye - Love Lockdown
West, Kanye - All Falls Down
West, Kanye - Amazing [w/Young Jeezy]
West, Kanye - American Boy [w/Estelle]
West, Kanye - ET [w/Katie Perry]
West, Kanye - Extravaganza [w/Jamie Foxx]
West, Kanye - Flashing Lights [w/Dwele]
West, Kanye - Gold Digger (album version)  [w/Jamie Foxx]
West, Kanye - Gold Digger (radio version) [w/Jamie Foxx]
West, Kanye - Good Life [w/T-Pain]
West, Kanye - Knock You Down [w/Keri Hilson & Ne-Yo]
West, Kanye - Jesus Walks
West, Kanye - Homecoming [w/Chris Martin]
West, Kanye - Hold on [w/Dwele]
West, Kanye - Heartless
West, Kanye - Heard 'em Say
West, Keith - Excerpt From a Teenage Opera
West, Shelly - Jose Cuervo
West, Shelly - You're the Reason God Made Oklahoma[w/DavidFrizzel]
Westerburg, Paul - Love Untold
Western Flyer - What Will You Do with M-E
Western Flyer - She Should've Been Mine
Western Flyer - Lost in You
Western Flyer - Cherokee Highway
Westlife - Total Eclipse of the Heart
Westlife - Tonight
Westlife - Swear It Again
Westlife - She's Back
Westlife - Seasons in the Sun
Westlife - Rose, The
Westlife - Queen of My Heart
Westlife - Unbreakable
Westlife - Uptown Girl
Westlife - Us Against the World
Westlife - What About Now
Westlife - What Makes a Man
Westlife - When You Tell Me That You Love Me [w/Diana Ross]
Westlife - When You're Looking Like That
Westlife - World of Our Own
Westlife - You Raise Me Up
Westlife - Obvious
Westlife - My Love
Westlife - Miss You Nights
Westlife - Ain't That a Kick in the Head
Westlife - Amazing
Westlife - Angel
Westlife - Angels Wings
Westlife - Bop Bop Baby
Westlife - Flying Without Wings
Westlife - Fool Again
Westlife - Hey Whatever
Westlife - Home
Westlife - Mandy
Westlife - Loneliness Knows Me By Name
Westlife - I'm Already there
Westlife - If I Let You Go
Westlife - I Lay My Love on You
Westlife - I Have a Dream
Westlife - I Don't Wanna Fight
Westside Connection -  see also  Ice Cube 
Westside Connection - Gangsta Nation [w/Nate Dogg]
Wet Wet Wet - Wishing I Was Lucky
Wet Wet Wet - Sweet Surrender
Wet Wet Wet - Sweet Little Mystery
Wet Wet Wet - Somewhere Somehow
Wet Wet Wet - Love Is All Around
Wet Wet Wet - If I Never See You Again
Wet Wet Wet - Goodnight Girl
Wet Wet Wet - All I Want
Wet Willie - Keep on Smilin'
Wet Willie - Street Corner Serenade
Wet Willie - Weekend
Whalum, Kirk - Love Is a Losing Game
Wham! - Young Guns (Go for It)
Wham! - Wake Me Up Before You Go Go
Wham! - Last Christmas
Wham! - I'm Your Man
Wham! - If You Were there
Wham! - Freedom
Wham! - Everything She Wants
Wham! - Edge of Heaven, The
Wham! - Club Tropicana
Wham! - Careless Whisper
Wham! - Bad Boys
Wham! -  see also  Michael, George 
Wheat - I Met a Girl
Wheatus - Teenage Dirtbag
Wheatus - Little Respect, A
When in Rome - Promise, The
Whigfield - Saturday Night
Whiskey Falls - Last Train Running
Whispers, The - Rock Steady
Whispers, The - Make Sweet Love to Me
Whispers, The - It's a Love Thing
Whispers, The - And the Beat Goes On
White Lion - Wait
White Lion - When the Children Cry
White Plains - Julie Do You Love Me
White Plains - My Baby Loves Lovin'
White Stripes, The - I Just Don't Know What to Do with Myself
White Stripes, The - Icky Thump
White Stripes, The - Level [Raconteurs]
White Stripes, The - My Doorbell
White Stripes, The - Seven Nation Army
White Stripes, The - Steady as She Goes [Raconteurs]
White Stripes, The - You Don't Know What Love Is
White Stripes, The - Hardest Button to Button, The
White Stripes, The - Fell in Love with a Girl
White Stripes, The - Denial Twist, The
White Stripes, The - Dead Leaves and the Dirty Ground
White Stripes, The - Conquest
White Stripes, The - Broken Boy Soldier [Raconteurs]
White Stripes, The - Blue Orchid
White Stripes, The - Another Way to Die [Alicia Keys & Jack White]
White Stripes, The -  see also  Raconteurs 
White Stripes, The - You Don't Know What Love Is (You Just Do as You're Told)
White Town - Your Woman
White Zombie - Demon Speeding [Rob Zombie solo]
White Zombie - Dragula [Rob Zombie solo]
White Zombie - Feels So Numb [Rob Zombie solo]
White Zombie - More Human than Human
White Zombie - Never Gonna Stop (the Red Red Kroovy) [Rob Zombie solo]
White, Barry - Never Never Gonna Give You Up
White, Barry - Practice What You Preach
White, Barry - You See the Trouble with Me
White, Barry - You're the First, the Last, My Everything
White, Barry - Let the Music Play
White, Barry - Just the Way You Are
White, Barry - It's Ecstasy When You Lay Down Next to Me
White, Barry - I'm Gonna Love You Just a Little Bit More
White, Barry - Come On
White, Barry - Can't Get Enough of Your Love
White, Bryan - One Small Miracle
White, Bryan - Sittin' on Go
White, Bryan - So Much for Pretending
White, Bryan - Someone Else's Star
White, Bryan - That's Another Song
White, Bryan - Tree of Hearts
White, Bryan - You're Still Beautiful to Me
White, Bryan - Love Is the Right Place
White, Bryan - Looking Through Your Eyes [w/the Corrs]
White, Bryan - Look at Me Now
White, Bryan - Bad Day to Let You Go
White, Bryan - Between Now and Forever
White, Bryan - Eugene You Genius
White, Bryan - From This Moment on [w/Shania Twain]
White, Bryan - God Gave Me You
White, Bryan - How Long
White, Bryan - I'm Not Supposed to Love You Anymore
White, Jack - Sixteen Saltines
White, Karyn - Superwoman
White, Karyn - Can I Stay with You
White, Keisha - Don't Mistake Me
White, Keisha - I Choose Life
White, Lari - Wishes
White, Lari - Wild at Heart
White, Lari - What a Woman Wants
White, Lari - That's My Baby
White, Lari - That'a How You Know When Your in Love
White, Lari - Test, The
White, Lari - Take Me
White, Lari - Stepping Stone
White, Lari - Now I Know
White, Lari - Lead Me Not
White, Lari - John Wayne Walking Away
White, Lari - Helping Me Get Over You [w/Travis Tritt]
White, Lari - Don't Fence Me In
White, Tony Joe - Polk Salad Annie
Whitehead, Axel - I Don't Do Surprises
Whites, The - Keep on the Sunnyside
Whites, The - Love Can't Ever Get Better Than This [Ricky Skaggs & Sharon White]
Whitesnake - Still of the Night
Whitesnake - Slow an' Easy
Whitesnake - Slide It In
Whitesnake - Is This Love
Whitesnake - Here I Go Again
Whitesnake - Give Me All Your Love
Whitesnake - Fool for Your Loving
Whitfield, David - Cara Mia
Whiting, Margaret - Slippin' Around [w/Jimmy Wakely]
Whitley, Keith - Miami My Amy
Whitley, Keith - Somebody's Doin' Me Right
Whitley, Keith - Ten Feet Away
Whitley, Keith - Til a Tear Becomes a Rose [w/Lorrie Morgan]
Whitley, Keith - When You Say Nothing at All
Whitley, Keith - It Ain't Nothin'
Whitley, Keith - I'm Over You
Whitley, Keith - I'm No Stranger to the Rain
Whitley, Keith - I Wonder Do You Ever Think of Me
Whitley, Keith - Homecoming '63
Whitley, Keith - Hard Livin'
Whitley, Keith - Don't Close Your Eyes
Whitman, Slim - Rose Marie
Whitman, Slim - Indian Love Call
Whittaker, Roger - There Goes My Everything
Whittaker, Roger - New World in the Morning
Whittaker, Roger - Last Farewell, The
Whittaker, Roger - Last Farewell
Whittaker, Roger - Keep on Chasin' Rainbows
Whittaker, Roger - I'd Fall in Love Tonight
Whittaker, Roger - I Love You Because
Whittaker, Roger - Have I Told You Lately That I Love You
Whittaker, Roger - Durham Town (The Leavin')
Whittaker, Roger - Durham Town
Whittaker, Roger - Don't Believe in Ifs Anymore
Whittaker, Roger - But She Loves Me
Whittaker, Roger - Blue Eyes Crying in the Rain
Who, The - Real Me, The
Who, The - Punk & the Godfather, The
Who, The - Pinball Wizard
Who, The - Pictures of Lily
Who, The - My Generation
Who, The - Magic Bus
Who, The - Love Reign O'er Me
Who, The - Seeker, The
Who, The - Squeeze Box
Who, The - Substitute
Who, The - Summertime Blues
Who, The - We're Not Gonna Take It
Who, The - Who Are You
Who, The - Without Your Love [Roger Daltrey solo]
Who, The - Won't Get Fooled Again
Who, The - You Better You Bet
Who, The - Let My Love Open the Door [Pete Townsend solo]
Who, The - Kids Are Alright, The
Who, The - Join Together
Who, The -  see also  Daltrey, Roger 
Who, The -  see also  Townsend, Pete 
Who, The - 5:15
Who, The - Anyway Anyhow Anywhere
Who, The - Baba O'Reilly
Who, The - Bargain
Who, The - Behind Blue Eyes
Who, The - Bell Boy
Who, The - Can't Explain
Who, The - Eminence Front
Who, The - Gettin' in Tune
Who, The - Happy Jack
Who, The - I Can See for Miles
Who, The - I Can't Explain
Who, The - I'm a Boy
Who, The - I'm Free
Whodini - Freaks Come Out at Night
Wicks, Chuck - All I Ever Wanted
Wicks, Chuck - Man of the House
Wicks, Chuck - Old School
Wicks, Chuck - Stealing Cinderella
Widespread Panic - Hope in a Hopeless World
Wiedlin, Jane - Rush Hour
Wiggins, John & Audrey - She's in the Bedroom Crying
Wiggins, John & Audrey - Memory Making Night
Wiggins, John & Audrey - Has Anybody Seen Amy
Wilburn Brothers - Hurt Her Once for Me
Wilburn Brothers - Roll Muddy River
Wilco - Dawned on Me
Wilco - You Never Know
Wild Cherry - Play That Funky Music
Wild Horses, The - I Will Survive
Wild Orchid - At Night I Pray
Wild Orchid - Supernatural
Wild Orchid - Talk to Me
Wildchild - Renegade Masters '98
Wilde, Kim - You Keep Me Hanging On
Wilde, Kim - You Came
Wilde, Kim - Kids in America
Wilde, Kim - Four Letter Word
Wilde, Kim - Chequered Love
Wilde, Marty - Sea of Love
Wilder, Matthew - Break My Stride
Wiley - Wot Do You Call It
Wiley - Wearing My Rolex
Wiley - Summer Time
Wiley - Reload [w/Chip & Ms.D]
Wiley - Never Be Your Woman [w/Emeli Sand
Wiley - Lights On [w/Angel & Tinchy Stryder]
Wiley - Heatwave [w/Rymez & Ms D]
Wiley - Can You Hear Me? (Ayayaya) [ft. Skepta,JME & Ms.D]
Wiley - Animal [ft. Conor Maynard]
Wilkinsons, The - Yodelin' Blues, The
Wilkinsons, The - Shame on Me
Wilkinsons, The - Outside Providence
Wilkinsons, The - Jimmy's Got a Girlfriend
Wilkinsons, The - I Wanna Be That Girl
Wilkinsons, The - Gone from Love Too Long [Amanda Wilkinson solo]
Wilkinsons, The - Fly (The Angel Song)
Wilkinsons, The - Boy Oh Boy
Wilkinsons, The - 26 Cents
Will & Gareth - Long & Winding Road, The
Will 2 Power - I'm Not in Love
Will 2 Power - Baby I Love Your Way
Will.I.Am - I Love My Chick [w/Busta Rhymes & Kelis]
Will.I.Am - In the Ayer [w/Flo Rida]
Will.I.Am - OMG [w/Usher]
Will.I.Am - Scream and Shout (ft. Britney Spears)
Will.I.Am - Something Really Bad [w/Dizzee Rascal]
Will.I.Am - T.H.E. (The Hardest Ever) [w/Jennifer Lopez & Mick Jagger]
Will.I.Am - That Power [w/Justin Bieber]
Will.I.Am - This Is Love [w/Eva Simons]
Will.I.Am - I Got It from My Mama
Will.I.Am - Heartbreaker [solo male version] [ft. Cheryl Cole]
Will.I.Am -  see also  Black Eyed Peas 
Will.I.Am - 3 Words [w/Cheryl Cole]
Will.I.Am - Baby Love [w/Nicole Scherzinger]
Will.I.Am - Bang Bang
Will.I.Am - Crazy Kids [w/Kesha]
Will.I.Am - Great Times Are Coming
Will.I.Am - Hall of Fame [w/The Script]
Will.I.Am - Heartbreaker [duet version, w/Cheryl Cole]
Williams Riley - Country Livin'
Williams, Andy - Moon River
Williams, Andy - Love Me with All Your Heart
Williams, Andy - Lonely Street
Williams, Andy - It's the Most Wonderful Time of the Year
Williams, Andy - More (Theme from Mondo Cane)
Williams, Andy - Music to Watch Girls By
Williams, Andy - Red Roses for a Blue Lady
Williams, Andy - Solitaire
Williams, Andy - Somewhere, My Love [Laura's Theme,  Dr. Zhivago ]
Williams, Andy - Speak Softly, Love (Godfather Theme)
Williams, Andy - Where Do I Begin [theme from Love Story]
Williams, Andy - Here's That Rainy Day
Williams, Andy - Hawaiian Wedding Song, The
Williams, Andy - Exodus Song, The
Williams, Andy - Almost There
Williams, Andy - Aloha Oe
Williams, Andy - Born Free
Williams, Andy - Canadian Sunset
Williams, Andy - Can't Get Used to Losing You
Williams, Andy - Can't Help Falling in Love
Williams, Andy - Can't Take My Eyes Off You
Williams, Andy - Charade
Williams, Andy - Danny Boy
Williams, Andy - Days of Wine and Roses, The
Williams, Andy - Dear Heart
Williams, Audrey - Dear Brother [w/Hank Williams]
Williams, Audrey - Jesus Remembered Me [w/Hank Williams]
Williams, Billy - I'm Gonna Sit Right Down & Write Myself a Letter
Williams, Bobbie - Millennium
Williams, Christopher - All I See
Williams, Cynda - Harlem Blues
Williams, Dar - What Do You Hear in These Sounds
Williams, Deniece - Too Much, Too Little, Too Late [w/Johnny Mathis]
Williams, Deniece - Silly
Williams, Deniece - Let's Hear It for the Boy
Williams, Deniece - It's Gonna Take a Miracle
Williams, Deniece - Free
Williams, Don - Some Broken Hearts Never Mend
Williams, Don - She Never Knew Me
Williams, Don - Say It Again
Williams, Don - Rake and Ramblin' Man
Williams, Don - One Good Well
Williams, Don - Nobody But You
Williams, Don - My Rifle My Pony and Me
Williams, Don - Miracles
