P Money - Stop the Music [w/Scribe]
P. Diddy - see  Diddy 
Pablo, Petey - see  Petey Pablo 
Parton, Dolly - Lost Forever in Your Kiss [w/Porter Wagoner]
Parton, Dolly - Grass Is Blue, The [w/Norah Jones]
Parton, Dolly - Full Circle
Parton, Dolly - Few Old Memories, A
Parton, Dolly - Everything's Beautiful [w/Willie Nelson]
Parton, Dolly - Don't It Make My Brown Eyes Blue [w/Crystal Gayle]
Parton, Dolly - Don't Call It Love
Parton, Dolly - Day I Fall in Love, The [w/James Ingram]
Parton, Dolly - Dagger Through the Heart
Parton, Dolly - Cry [w/Crystal Gayle]
Parton, Dolly - Cross My Heart
Parton, Dolly - Creepin' in [w/Norah Jones]
Parton, Dolly - Coat of Many Colors
Parton, Dolly - Coal Miners Daughter [w/Loretta Lynn]
Parton, Dolly - But You Know I Love You
Parton, Dolly - Bargain Store, The
Parton, Dolly - Applejack
Parton, Dolly - 9 to 5
Parton, Dolly - Hard Candy Christmas
Parton, Dolly - Heartbreaker
Parton, Dolly - Little Sparrow
Parton, Dolly - Last Thing on My Mind, The [w/Porter Wagoner]
Parton, Dolly - Just When I Needed You Most
Parton, Dolly - Just Someone I Used to Know [w/Porter Wagoner]
Parton, Dolly - Joshua
Parton, Dolly - Jolene
Parton, Dolly - It's All Wrong, But It's All Right
Parton, Dolly - Islands in the Stream [w/Kenny Rogers]
Parton, Dolly - Islands in the Stream [Comic Relief version] [w/Kenny Rogers]
Parton, Dolly - I Will Always Love You
Parton, Dolly - Hello God
Parton, Dolly - Here You Come Again
Parton, Dolly - He's Alive
Parton, Dolly - I Really Got the Feeling
Parton, Dolly - I Still Miss Someone (duet version) [w/Martina McBride]
Parton, Dolly - I Still Miss Someone (solo version) [w/Martina McBride]
Parton, Dolly - I Was Country When Country Wasn't Cool[w/BMandrel]
Partridge Family, The - Walking in the Rain
Partridge Family, The - Partridge Family [theme]
Partridge Family, The - I'll Meet You Halfway
Partridge Family, The - I Woke Up in Love This Morning
Partridge Family, The - I Think I Love You
Partridge Family, The - Doesn't Somebody Want to Be Wanted
Partridge, Don - Rosie
Party, Alex - Don't Give Me Your Life
Pasadenas, The - I'm Doing Fine Now
Paslay, Eric - Never Really Wanted
Passenger - Let Her Go
Passenger - Holes
Passions, The - Just to Be with You
Patin, Rick - Americana Gold
Patriotic - Red, White, and Blue [Loretta Lynn]
Patriotic - Our America [Gretchen Wilson, Big & Rich, & Cowboy Troy]
Patriotic - Osama Yo' Mama [Ray Stevens]
Patriotic - Only in America [Jay & the Americans]
Patriotic - Only in America [Brooks & Dunn]
Patriotic - Okie from Muskogee [Merle Haggard]
Patriotic - Marine's Hymn (Halls of Montezuma)
Patriotic - In the Navy [Village People]
Patriotic - In America [Charlie Daniels Band]
Patriotic - I'm Missing You [Kenny Rogers]
Patriotic - Red, White, and Blue [Lynyrd Skynyrd]
Patriotic - Saddam Stomp [Pat Garrett]
Patriotic - Soldiers Heart [R. Kelly]
Patriotic - Yankee Doodle
Patriotic - Where Were You (When the World Stopped Turning) [Alan Jackson]
Patriotic - Where the Stars & Stripes & the Eagle Fly
Patriotic - USA Today [Hank Williams Jr.]
Patriotic - USA Today [George Jones]
Patriotic - This Land Is Your Land
Patriotic - This Ain't No Rag It's a Flag [Charlie Daniels Band]
Patriotic - Taliban Song, The [Toby Keith]
Patriotic - Stars and Stripes Forever
Patriotic - Star Spangled Banner, The
Patriotic - I Raq and Roll [Clint Black]
Patriotic - I Am a Patriot [Little Steven & Disciples of Soul]
Patriotic - America
Patriotic - Ballad of the Green Berets, The [Barry Sadler]
Patriotic - Anchors Aweigh (Navy song)
Patriotic - American Trilogy [Elvis]
Patriotic - American Soldier [Toby Keith]
Patriotic - American Child [Phil Vassar]
Patriotic - America Will Survive [Hank Williams Jr.]
Patriotic - America the Beautiful [Elvis]
Patriotic - America the Beautiful
Patriotic - America [Waylon Jennings]
Patriotic - America [Neil Diamond]
Patriotic - Bang the Drum Slowly [Emmylou Harris]
Patriotic - Battle Hymn of the Republic
Patriotic - Hey Mr. President [Warren Brothers]
Patriotic - God Bless the USA 2003 [Lee Greenwood]
Patriotic - God Bless the USA [Lee Greenwood]
Patriotic - God Bless the USA [Jump 5]
Patriotic - God Bless the USA (American Idol Finalists)
Patriotic - God Bless America [LeAnn Rimes]
Patriotic - God Bless America [Kate Smith]
Patriotic - God Bless America [Celine Dion]
Patriotic - God Bless America
Patriotic - Courtesy of the Red, White & Blue [Toby Keith]
Patriotic - Caissons Song [The Army Song]
Patterson, Rahsaan - 6 AM
Patterson, Rahsaan - Crazy (Baby)
Patty, Sandi - Hand on My Shoulder
Patty, Sandi - Another Time Another Place [w/Wayne Watson]
Paul & Paula - Hey Paula
Paul, Billy - Me & Mrs. Jones
Paul, Les & Mary Ford - Vaya Con Dios
Paul, Owen - My Favourite Waste of Time
Paul, Sean - Press It Up
Paul, Sean - Push It Baby [w/Pretty Ricky]
Paul, Sean - She Doesn`t Mind
Paul, Sean - So Fine
Paul, Sean - Summer Paradise [w/Simple Plan]
Paul, Sean - Temperature
Paul, Sean - We Be Burnin'
Paul, Sean - What About Us [w/The Saturdays]
Paul, Sean - Like Glue
Paul, Sean - I'm Still in Love with You [w/Sasha]
Paul, Sean - Got 2 Luv U [w/Alexis Jordan]
Paul, Sean - Baby Boy [w/Beyonc
Paul, Sean - Break It Off [w/Rihanna]
Paul, Sean - Breathe [w/Blu Cantrell]
Paul, Sean - Do It to It [w/Cherish]
Paul, Sean - Do You Remember [w/Jay Sean]
Paul, Sean - Get Busy
Paul, Sean - Gimme the Light
Paul, Sean - Give It Up to Me
Pausini, Laura - Volvere Junto a Ti
Pausini, Laura - Surrender
Pausini, Laura - If That's Love
Pausini, Laura - Entre T
Pax 217 - Tonight
Paxton, Tom - Engelbert the Elephant
Paxton, Tom - Wasn't That a Party [w/Clancy Brothers]
Pay the Girl - Freeze
Paycheck, Johnny - You Can Have Her [w/George Jones]
Paycheck, Johnny - Take This Job and Shove It
Paycheck, Johnny - Song and Dance Man
Paycheck, Johnny - Something About You I Love
Paycheck, Johnny - Someone to Give My Love To
Paycheck, Johnny - Slide Off of Your Satin Sheets
Paycheck, Johnny - Mr. Lovemaker
Paycheck, Johnny - Friend, Lover, Wife
Paycheck, Johnny - For a Minute There
Paycheck, Johnny - A-11
Payne, Freda - Band of Gold
Payne, Leon - I Love You Because
Pe - El Deseo de Ti [w/Daniel Ren
Pe - El Dolor de Tu Presencia
Pe - Entre el Delirio y la Locura
Pe - Fuego Lento, A
Pe - Vivo y Muero en Tu Piel
Peach Union - On My Own
Peaches & Herb - Shake Your Groove Thang
Peaches & Herb - Reunited
Pearce, Ben - What I Might Do
Pearl Jam - Nothing as It Seems
Pearl Jam - Not for You
Pearl Jam - Light Years
Pearl Jam - Life Wasted
Pearl Jam - Last Kiss
Pearl Jam - Save You
Pearl Jam - Say Hello 2 Heaven [Temple of the Dog]
Pearl Jam - Who You Are
Pearl Jam - Wishlist
Pearl Jam - World Wide Suicide
Pearl Jam - Yellow Ledbetter
Pearl Jam - You've Got to Hide Your Love [Eddie Vedder solo]
Pearl Jam - Just Breathe
Pearl Jam - Jeremy
Pearl Jam - I Got Id
Pearl Jam - Black
Pearl Jam - Better Man, A
Pearl Jam - Animal
Pearl Jam - Alive
Pearl Jam - Daughter
Pearl Jam - Dissident
Pearl Jam - Elderly Woman Behind the Counter in a Small Town
Pearl Jam - Even Flow
Pearl Jam - Fixer, The
Pearl Jam - Given to Fly
Pearl Jam - Glorified G
Pearl Jam - Go
Pearl Jam - Hail Hail
Pearl Jam - Hard Sun [Eddie Vedder solo]
Pearl Jam - Hunger Strike [Temple of the Dog]
Pearl Jam - I Am Mine
Pearl Jam - Breath
Pearls, The - Third Finger Left Hand
Pearson, Amy - Ready to Fly
Pebbles - Mercedes Boy
Pebbles - Girlfriend
Peck, Danielle - I Don't
Peck, Danielle - Isn't That Everything
Peck, Danielle - Bad for Me
Peevey, Gayla - I Want a Hippopotamus for Christmas
Penate, Jack - Torn on the Platform
Penate, Jack - Second, Minute or Hour
Penate, Jack - Be the One
Pendergrass, Teddy - Close the Door
Pendergrass, Teddy - Close the Door (Part 1)
Pendergrass, Teddy - Close the Door (Part 2)
Pendergrass, Teddy - Hold Me [w/Whitney Houston]
Pendergrass, Teddy - Love T.K.O.
Pendergrass, Teddy - Turn Off the Lights
Pendulum - Propane Nightmares
Pendulum - Granite
Penguins, The - Earth Angel (Will You Be Mine)
Peniston, Ce Ce - Finally
Peniston, Ce Ce - I'm in the Mood
Peniston, Ce Ce - Movin' On
Pepper & Piano - You Took My Heart
Perez, Amanda - Never
Perez, Amanda - I Pray
Perez, Amanda - Angel
Perez, Chris - Best I Can, The
Perfect Circle, A - Weak and Powerless
Perfect Circle, A - Passive
Perfect Circle, A - Outsider, The
Perfect Circle, A - Judith
Perfect Circle, A - Imagine
Perfect Circle, A - Hollow, The
Perfect Circle, A - Blue [remix]
Perfect Circle, A - 3 Libras
Perfect Stranger - You Have the Right to Remain Silent
Perfect Stranger - Remember the Ride
Perfect Stranger - Miracle
Perfect Stranger - Hits, The
Perfect Stranger - Cut Me Off
Perils of Pauline - I Wish I Didn't Love You So
Perkins, Carl - Blue Suede Shoes
Perkins, Carl - Dixie Fried
Perkins, Carl - Honey Don't
Perkins, Carl - Matchbox
Perri, Christina - Thousand Years, A
Perri, Christina - Jar of Hearts
Perri, Christina - Arms
Perry, Katy - One That Got Away, The
Perry, Katy - Part of Me
Perry, Katy - Roar
Perry, Katy - Starstrukk [w/3OH!3]
Perry, Katy - Teenage Dream
Perry, Katy - Thinking of You
Perry, Katy - Waking Up in Vegas
Perry, Katy - Wide Awake
Perry, Katy - One of the Boys
Perry, Katy - Last Friday Night (T.G.I.F)
Perry, Katy - California Gurls [w/Snoop Dogg]
Perry, Katy - Dark Horse [w/Juicy J]
Perry, Katy - ET [w/Kanye West]
Perry, Katy - Firework
Perry, Katy - Hot 'n Cold
Perry, Katy - Hot n' Cold
Perry, Katy - I Kissed a Girl
Perry, Katy - If We Ever Met Again [w/Timbaland]
Perry, Keith - All I Give a Darn About Is You
Perry, Steve - When You're in Love for the First Time
Perry, Steve - Oh Sherrie
Perry, Steve - Missing You
Perry, Steve - Foolish Heart
Perry, Steve - You Better Wait
Persuasions, The - People Get Ready
Pesado - Arr
Pesado - Como Le Hago
Pet Shop Boys, The - What Have I Done to Deserve This [w/Dusty Springfield]
Pet Shop Boys, The - West End Girls
Pet Shop Boys, The - She's Madonna [w/Robbie Williams]
Pet Shop Boys, The - Opportunities (Let's Make Lots of Money)
Pet Shop Boys, The - It's a Sin
Pet Shop Boys, The - I'm with Stupid
Pet Shop Boys, The - Go West
Pet Shop Boys, The - Flamboyant
Pet Shop Boys, The - Did You See Me Coming?
Pet Shop Boys, The - Before
Pet Shop Boys, The - Always on My Mind
Peter & Gordon - World Without Love, A [written by Lennon/McCartney]
Peter & Gordon - Lady Godiva
Peter & Gordon - I Go to Pieces
Peter & Gordon - Baby I'm Yours
Peter Bjorn & John - Young Folks [w/Victoria Bergsman]
Peter Kay's All Star Band - BBC Children in Need Medley 2009
Peter, Paul & Mary - Stewball
Peter, Paul & Mary - Puff the Magic Dragon
Peter, Paul & Mary - Lemon Tree
Peter, Paul & Mary - Leaving on a Jet Plane
Peter, Paul & Mary - If I Had a Hammer
Peter, Paul & Mary - I Dig Rock & Roll Music
Peter, Paul & Mary - Blowin' in the Wind
Peters & Lee - Don't Stay Away Too Long
Peters & Lee - Welcome Home
Peters and Lee - Don't Stay Away Too Long
Peters, Gretchen - I Ain't Ever Satisfied
Peters, Gretchen - When You Are Old
Peters, Red - You Promised the Moon But I Preferred Uranus
Peters, Red - You Ain't Gettin' Sh*t for Christmas
Peters, Red - How's Your Whole Family
Peters, Red - Holy Sh*t, It's Christmas!
Peters, Red - Closing Song, The (Get the F-ck Out) [with vocals]
Peters, Red - Blow Me
Peters, Red - Ballad of a Dog Named Stains
Peterson, Michael - When the Bartender Cries
Peterson, Michael - Too Good to Be True
Peterson, Michael - Sure Feels Real Good
Peterson, Michael - Somethin' 'Bout a Sunday
Peterson, Michael - Modern Man
Peterson, Michael - From Here to Eternity
Peterson, Michael - Drink, Swear, Steal & Lie
Peterson, Michael - By the Book
Peterson, Ray - Tell Laura I Love Her
Peterson, Ray - Corrina, Corrina
Petey Pablo - Freek-a-Leek
Petey Pablo - Goodies [w/Ciara]
Petey Pablo - Raise Up
Petra - Lord, I Lift Your Name on High
Petrone, Shana - This Time
Petrone, Shana - Something Real
Petrone, Shana - Heaven Bound
Petty, Tom - Learning to Fly
Petty, Tom - Mary Jane's Last Dance
Petty, Tom - Needles and Pins [w/Stevie Nicks]
Petty, Tom - Refugee
Petty, Tom - Runnin' Down a Dream
Petty, Tom - Saving Grace
Petty, Tom - Stop Draggin' My Heart Around [w/Stevie Nicks]
Petty, Tom - Waiting, The
Petty, Tom - Walls
Petty, Tom - You Don't Know How It Feels
Petty, Tom - You Got Lucky
Petty, Tom - Last DJ, The
Petty, Tom - It's Good to Be King
Petty, Tom - American Girl
Petty, Tom - Breakdown
Petty, Tom - Climb That Hill
Petty, Tom - Don't Come Around Here No More
Petty, Tom - Don't Do Me Like That
Petty, Tom - Even the Losers
Petty, Tom - Free Fallin'
Petty, Tom - Here Comes My Girl
Petty, Tom - I Need to Know
Petty, Tom - I Won't Back Down
Petty, Tom - Into the Great Wide Open
Peyroux, Madeleine - Kind You Can't Afford, The
Ph.D. - I Won't Let You Down
Phair, Liz - Why Can't I?
Phair, Liz - Supernova
Phair, Liz - Polyester Bride
Phair, Liz - F-ck and Run
Phair, Liz - Extraordinary
Phair, Liz - Everything to Me
Phair, Liz - Count on My Love
Phantom Planet - California 2005 (from the O.C. Mix 5)
Phantom Planet - California [regular fast version]
Phantom Planet - California
Pharrell - I'm Good [w/Clipse]
Pharrell - Let's Get Blown [w/Snoop Dogg]
Pharrell - Lose Yourself to Dance [w/Daft Punk]
Pharrell - Money Maker [w/Ludacris]
Pharrell - Number One [w/Kanye West]
Pharrell - Pass the Courvoisier Part II[w/BustaRhymes&PDiddy]
Pharrell - Say Somethin' [w/Mariah Carey & Snoop Dogg]
Pharrell - Southern Hospitality [w/Ludacris]
Pharrell - Universal Mind Control [w/Common]
Pharrell - I Know [w/Jay-Z]
Pharrell - Get Lucky [w/Daft Punk]
Pharrell - Beautiful [w/Snoop Dogg & Charlie Wilson]
Pharrell - Blurred Lines [w/Robin Thicke & T.I.]
Pharrell - Boys [w/Britney Spears]
Pharrell - Can I Have It Like That [w/Gwen Stefani]
Pharrell - Change Clothes [w/Jay-Z]
Pharrell - Drop It Like It's Hot [w/Snoop Dogg]
Pharrell - Frontin' [w/Jay-Z]
Pharrell - Get Like Me [ft. Nelly & Nicki Minaj]
Pharrell - Angel
Phats & Small - Turn Around
Phillips, Craig & Dean - Come Now Is the Time to Worship
Phillips, Craig & Dean - Let My Words Be Few
Phillips, Craig & Dean - You Are My King
Phillips, Phil - Sea of Love
Phish - Heavy Things
Phish - Free
Phish - Connection, The
Phixx - Love Revolution
Phoenix - 1901
Phoenix - Lisztomania
Phonte & Median - Eternally
Phyllisia - Sunshine [w/Ne-yo & Flo Rida]
Piaf, Edith - La Vie en Rose (english)
Piaf, Edith - La Vie en Rose (french)
Pickett, Bobby Boris - Monster Mash, The
Pickett, Bobby Boris - Monster's Holiday
Pickett, Wilson - In the Midnight Hour
Pickett, Wilson - Land of 1000 Dances
Pickett, Wilson - Mustang Sally
Pickett, Wilson - Stagger Lee
Pickett, Wilson - I'm in Love
Pickett, Wilson - Funky Broadway
Pickett, Wilson - Fire and Water
Pickett, Wilson - Don't Let the Green Grass Fool You
Pickett, Wilson - Bring It on Home to Me
Pickett, Wilson - 634-5789 (Soulsville, U.S.A.)
Pickettywitch - That Same Old Feeling
Pickler, Kellie - Tough
Pickler, Kellie - Things That Never Cross a Man's Mind
Pickler, Kellie - Red High Heels
Pickler, Kellie - Little Bit Gypsy
Pickler, Kellie - I Wonder
Pickler, Kellie - Don't You Know You're Beautiful
Pickler, Kellie - Didn't You Know How Much I Loved You
Pierce, Webb - More and More
Pierce, Webb - Love Love Love
Pierce, Webb - In the Jailhouse Now
Pierce, Webb - I Don't Care
Pierce, Webb - I Ain't Never
Pigeon Detectives, The - I Found Out
Pigeon Detectives, The - I'm Not Sorry
Pigeon Detectives, The - Take Her Back
Pigg, Landon - Falling in Love at a Coffee Shop
Pillar - Echelon
Pillar - Fireproof
Pilot - Magic
Pilot - January
Pimpinela - Se Va, Se Va
Pink - Please Don't Leave Me
Pink - Nobody Knows
Pink - Most Girls
Pink - Misery [w/Steven Tyler]
Pink - Leave Me Alone (I'm Lonely)
Pink - Last to Know
Pink - Lady Marmalade [w/Xtina&LilKim&M_a&Missy Elliott]
Pink - So What
Pink - Sober
Pink - Stupid Girls
Pink - There You Go
Pink - Trouble
Pink - True Love [w/Lily Allen]
Pink - Try
Pink - U & Ur Hand
Pink - Who Knew
Pink - You Make Me Sick
Pink - Just Like a Pill
Pink - Just Give Me a Reason [w/Nate Ruess from Fun.]
Pink - 18 Wheeler
Pink - Ave Mary A
Pink - Blow Me (One Last Kiss)
Pink - Catch-22
Pink - Cuz I Can
Pink - Dear Mr President [w/Indigo Girls]
Pink - Don't Let Me Get Me
Pink - Eventually
Pink - Family Portrait
Pink - Feel Good Time [w/William Orbit]
Pink - Just Give Me a Reason [ft. Nate Ruess]
Pink - I Don't Believe You
Pink - Heartbreak Down
Pink - God Is a DJ
Pink - Glitter in the Air
Pink - Get the Party Started
Pink - Funhouse
Pink Floyd - See Emily Play
Pink Floyd - On the Turning Away
Pink Floyd - Not Now John
Pink Floyd - Nobody Home
Pink Floyd - Mother
Pink Floyd - Money
Pink Floyd - Sheep
Pink Floyd - Shine on You Crazy Diamond
Pink Floyd - Take It Back
Pink Floyd - Time
Pink Floyd - Us and Them
Pink Floyd - What Do You Want from Me
Pink Floyd - When the Tigers Broke Free
Pink Floyd - Wish You Were Here
Pink Floyd - Learning to Fly
Pink Floyd - Keep Talking
Pink Floyd - High Hopes
Pink Floyd - Another Brick in the Wall
Pink Floyd - Another Brick in the Wall (part II)
Pink Floyd - Arnold Layne
Pink Floyd - Bike
Pink Floyd - Brain Damage
Pink Floyd - Brain Damage/Eclipse
Pink Floyd - Breathe
Pink Floyd - Comfortably Numb
Pink Floyd - Coming Back to Life
Pink Floyd - Eclipse
Pink Floyd - Final Cut, The
Pink Floyd - Great Gig in the Sky
Pink Floyd - Have a Cigar
Pink Floyd - Hey You
Pinkard & Bowden - She Thinks I Steal Cars
Pinkard & Bowden - Mama She's Lazy
Pinkard & Bowden - Help Me Make It Through the Yard
Pinkard & Bowden - Guns Made America Great
Pinkard & Bowden - Folk Music
Pinkee - Danger Games
Pinmonkey - Barbed Wire and Roses
Pinmonkey - Barbs and Roses
Pinmonkey - I Drove All Night
Pinmonkey - Let's Kill Saturday Night
Pinson, Bobby - Don't Ask Me How I Know
Piper, Billie - Walk of Life
Piper, Billie - Tide Is High, The
Piper, Billie - Something Deep Inside
Piper, Jerry - Galway Bay
Pipkins, The - Gimme Dat Ding
Piranhas, The - Tom Hark
Piranhas, The - Where Is My Mind
Pirates of the Mississippi, The - Feed Jake
Pires, Alexandre - Quitemonos la Ropa
Pires, Alexandre - Pires, Alexandre - Amame
Pires, Alexandre - Necesidad
Pires, Alexandre - Es por Amor
Pires, Alexandre - En el Silencio Negro de la Noche
Pires, Alexandre - Amame
Pistol Annies - Hell on Heels
Pistol Annies - Takin' Pills
Pitbull - International Love [ft. Chris Brown]
Pitbull - Live It Up [w/Jennifer Lopez]
Pitbull - On the Floor [w/Jennifer Lopez]
Pitbull - Pass at Me [w/Timbaland & David Guetta]
Pitbull - Rain Over Me [w/Marc Anthony]
Pitbull - There She Goes [w/Taio Cruz]
Pitbull - We Run the Night [w/Havana Brown]
Pitbull - I Like It [w/Enrique Iglesias]
Pitbull - I Know You Want Me (Calle Ocho)
Pitbull - Back in Time
