R Kelly - see  Kelly, R 
Raitt, Bonnie - I Can't Make You Love Me
Raitt, Bonnie - I Will Not Be Broken
Raitt, Bonnie - Love Has No Pride
Raitt, Bonnie - Love Letter
Raitt, Bonnie - Love Me Like a Man
Raitt, Bonnie - Love Sneakin' Up on You
Ram - Del Otro Lado del Porton
Ram Jam Band [Geno Washington] - Black Betty
Ramazzotti, Eros - Fuego en el Fuego
Ramazzotti, Eros - Una Emoci
Rambler - Dreamin'
Ramirez, Karen - Looking for Love
Rammstein - Du Hast (English version)
Ramon Ayala y Sus Bravos del Norte - Quemame los Ojos
Ramones, The - Sheena Is a Punk Rocker
Ramones, The - Rock and Roll High School
Ramones, The - Pet Sematary
Ramones, The - KKK Took My Baby Away, The
Ramones, The - I Wanna Be Sedated
Ramones, The - Blitzkrieg Bop
Ramones, The - Beat on the Brat
Ramones, The - Baby I Love You
Ramones, The - What a Wonderful World [Joey Ramone solo]
Ramsey, Tarralyn - Up Against All Odds
Rancid - Fall Back Down
Randall, Jon - By My Side [w/Lorrie Morgan]
Randall, Jon - Cold Coffee Morning
Randall, Jon - I Came Straight for You
Randall, Jon - She Don't Believe in Fairy Tales
Randolph, Robert & the Family Band - Mission Temple Fireworks Stand [w/Sawyer Brown]
Randolph, Robert & the Family Band - I Need More Love
Randy & the Rainbows - Denise
Randy Rogers Band - Interstate
Randy Rogers Band - Steal You Away
Ranks, Shabba - Family Affair
Rare Earth - Get Ready
Rare Earth - I Just Want to Celebrate
Rascal Flatts - Shine On
Rascal Flatts - She Goes All the Way [w/Jamie Foxx]
Rascal Flatts - Secret Smile
Rascal Flatts - Revolution
Rascal Flatts - Prayin' for Daylight
Rascal Flatts - My Wish
Rascal Flatts - Me and My Gang
Rascal Flatts - Skin
Rascal Flatts - Stand
Rascal Flatts - Take Me There
Rascal Flatts - These Days
Rascal Flatts - This Everyday Love
Rascal Flatts - What Hurts the Most
Rascal Flatts - While You Loved Me
Rascal Flatts - Why
Rascal Flatts - Winner at a Losing Game
Rascal Flatts - Mayberry
Rascal Flatts - Love You Out Loud
Rascal Flatts - Long Slow Beautiful Dance
Rascal Flatts - Better Now
Rascal Flatts - Bless the Broken Road
Rascal Flatts - Close
Rascal Flatts - Easy [w/Natasha Bedingfield]
Rascal Flatts - Every Day
Rascal Flatts - Fast Cars and Freedom
Rascal Flatts - Feels Like Today
Rascal Flatts - Glory of Life, The
Rascal Flatts - Help Me Remember
Rascal Flatts - Life Is a Highway
Rascal Flatts - It's Not Supposed to Go Like That
Rascal Flatts - I'm Movin' On
Rascal Flatts - I Won't Let Go
Rascal Flatts - I Melt
Rascal Flatts - Here Comes Goodbye
Rascal Flatts - Here
Rascal, Dizzee -  see  Dizzee Rascal 
Rascals, The - You Better Run
Rascals, The - People Got to Be Free
Rascals, The - Mustang Sally
Rascals, The - Lonely Too Long
Rascals, The - I've Been Lonely Too Long
Rascals, The - How Can I Be Sure
Rascals, The - Groovin'
Rascals, The - Good Lovin'
Rascals, The - Girl Like You, A
Rascals, The - Come on Up
Rascals, The - Beautiful Morning, A
Rasmus - Shot
Rasmus, The - Guilty
Rasmus, The - In the Shadows
Raspberries, The - Overnight Sensation
Raspberries, The - Go All the Way
Ratt - Back for More
Ratt - Lack of Communication
Ratt - Lay It Down
Ratt - Round & Round
Ratt - Way Cool Jr.
Raven, Eddy - Shine Shine Shine
Raven, Eddy - Joe Knows How to Live
Raven, Eddy - In a Letter to You
Raven, Eddy - I'm Gonna Get You
Raven, Eddy - I Got Mexico
Raven, Eddy - Cowboys Don't Cry
Rawls, Lou - You'll Never Find Another Love Like Mine
Rawls, Lou - You Are My Lady
Rawls, Lou - This Song Will Last Forever
Rawls, Lou - See You When I Get There
Rawls, Lou - Natural Man
Rawls, Lou - Love Is a Hurtin' Thing
Rawls, Lou - Lady Love
Ray J - You Know Me [w/2 Pistols]
Ray J - What I Need
Ray J - Sexy Can I [w/Yung Berg]
Ray J - Another Day in Paradise [w/Brandy]
Ray, Goodman & Brown - Special Lady
Ray, Jimmy - Are You Jimmy Ray
Ray, Johnnie - Yes Tonight Josephine
Ray, Johnnie - Such a Night
Ray, Johnnie - Just Walkin' in the Rain
Ray, Johnnie - Hey There
Ray, Johnnie - Cry
Raybon Brothers, The - Way She's Looking, The
Raybon Brothers, The - Cracker Jack Diamond [Marty Raybon solo]
Raybon Brothers, The - Butterfly Kisses
Raye, Collin - My Kind of Girl
Raye, Collin - On the Verge
Raye, Collin - One Boy, One Girl
Raye, Collin - Peace (Where theHeartIs)[w/JimBrickman&SusanAshtn]
Raye, Collin - She's All That
Raye, Collin - Somebody Else's Moon
Raye, Collin - Someone You Used to Know
Raye, Collin - Start Over Georgia
Raye, Collin - That Was a River
Raye, Collin - That's My Story
Raye, Collin - Tired of Loving This Way [w/Bobbie Eakes]
Raye, Collin - What If Jesus Comes Back Like That
Raye, Collin - What the Heart Wants
Raye, Collin - Whenever Forever Comes [w/Dolly Parton]
Raye, Collin - You Still Take Me There
Raye, Collin - Man of My Word
Raye, Collin - Love Remains
Raye, Collin - Anyone Else
Raye, Collin - Couldn't Last a Moment
Raye, Collin - Eleventh Commandment, The
Raye, Collin - Every Second
Raye, Collin - Gift, The [w/Jim Brickman & Susan Ashton]
Raye, Collin - I Can Still Feel You
Raye, Collin - I Think About You
Raye, Collin - I Volunteer
Raye, Collin - I Want You Bad (and That Ain't Good)
Raye, Collin - In This Life
Raye, Collin - It Could've Been So Good
Raye, Collin - Little Red Rodeo
Raye, Collin - Little Rock
Raye, Collin - Love Me
Raye, Collin - Ain't Nobody Gonna Take That from Me
Rays, The - Silhouettes
Razorlight - America
Razorlight - Wire to Wire
Razorlight - Vice
Razorlight - Somewhere Else
Razorlight - Rip It Up
Razorlight - In the Morning
Razorlight - I Can't Stop This Feeling I've Got
Razorlight - Hostage of Love
Razorlight - Hold On
Razorlight - Golden Touch
Razorlight - Before I Fall to Pieces
RBD - Tu Amor
Re-Flex - Politics of Dancing, The
Rea, Chris - Road to Hell
Rea, Chris - On the Beach
Rea, Chris - Let's Dance
Rea, Chris - Julia
Rea, Chris - Auberge
Rea, Chris - Driving Home for Christmas
Rea, Chris - Fool (If You Think It's Over)
Reader, Eddi - Patience of Angels
Ready for the World - Love You Down
Ready for the World - Oh Sheila
Real Life - Send Me an Angel
Real McCoy, The - Come & Get Your Love
Real McCoy, The - Run Away
Real McCoy, The - Another Night
Real Thing, The - You to Me Are Everything
Real Thing, The - Can't Get By Without You
Rebekah - Sin So Well
Rebel Cockney - Judy Teen
Rebel MC, The - Street Tuff
Rebel Meets Rebel - Get Outta My Life
Red Box - Lean on Me
Red Box - For America
Red Hot Chili Peppers - My Friends
Red Hot Chili Peppers - Otherside
Red Hot Chili Peppers - Road Trippin'
Red Hot Chili Peppers - Scar Tissue
Red Hot Chili Peppers - Sir Psycho Sexy
Red Hot Chili Peppers - Snow (Hey Oh)
Red Hot Chili Peppers - Soul to Squeeze
Red Hot Chili Peppers - Suck My Kiss
Red Hot Chili Peppers - Tell Me Baby
Red Hot Chili Peppers - Under the Bridge
Red Hot Chili Peppers - Universally Speaking
Red Hot Chili Peppers - Zephyr Song, The
Red Hot Chili Peppers - Love Rollercoaster
Red Hot Chili Peppers - Knock Me Down
Red Hot Chili Peppers - Aeroplane
Red Hot Chili Peppers - Around the World
Red Hot Chili Peppers - Blood Sugar Sex Magik
Red Hot Chili Peppers - By the Way
Red Hot Chili Peppers - Californication
Red Hot Chili Peppers - Can't Stop
Red Hot Chili Peppers - Dani California
Red Hot Chili Peppers - Dosed
Red Hot Chili Peppers - Fortune Faded
Red Hot Chili Peppers - Give It Away
Red Hot Chili Peppers - Higher Ground
Red Hot Chili Peppers - Hump De Bump
Red Hot Chili Peppers - If You Have to Ask
Red Jumpsuit Apparatus, The - Your Guardian Angel
Red Jumpsuit Apparatus, The - Pen and Paper
Red Jumpsuit Apparatus, The - Face Down
Red Rider - Lunatic Fringe
Red Rider -  see also  Cochrane, Tom 
Red Sovine - Teddy Bear
Redbone - Come and Get Your Love
Redbone - Witch Queen of New Orleans
Redd, Sharon - Can You Handle It
Redding, Otis - Respect
Redding, Otis - Shake
Redding, Otis - These Arms of Mine
Redding, Otis - These Arms of Mine [country version, pitch down]
Redding, Otis - Tramp
Redding, Otis - Try a Little Tenderness
Redding, Otis - Papa's Got a Brand New Bag
Redding, Otis - Lover's Prayer
Redding, Otis - Love Man
Redding, Otis - Can't Turn You Loose (live)
Redding, Otis - Dock of the Bay, (Sittin' on the)
Redding, Otis - Dreams to Remember
Redding, Otis - Fa-Fa-Fa-Fa-Fa (Sad Song)
Redding, Otis - Happy Song, The
Redding, Otis - Hard to Handle
Redding, Otis - I've Been Loving You Too Long (to Stop Now)
Reddy, Helen - You and Me Against the World
Reddy, Helen - Leave Me Alone
Reddy, Helen - I Don't Know How to Love Him
Reddy, Helen - I Am Woman
Reddy, Helen - Delta Dawn
Reddy, Helen - Angie Baby
Reddy, Helen - Ain't No Way to Treat a Lady
Redlight - Get Out My Head
Redman - Pocketbook (remix) [w/Meshell Ndegeocello & Tweet]
Redman - Squeezin' the Love Outta You [w/Vale]
Redmon & Vale - Squeezin' the Love Outta You
Redmon & Vale - If I Had a Nickel
Redmond, Megan - Falling
Rednex - Cotton Eye Joe
Reed, Jerry - When You're Hot, You're Hot
Reed, Jerry - She Got the Goldmine, I Got the Shaft
Reed, Jerry - Lord Mr. Ford
Reed, Jerry - I Love You What Can I Say
Reed, Jerry - Good Woman's Love
Reed, Jerry - East Bound and Down
Reed, Jerry - Bird, The
Reed, Jerry - Amos Moses
Reed, Jimmy - You Got Me Running
Reed, Jimmy - Hide & Seek
Reed, Jimmy - Bright Lights Big City
Reed, Jimmy - Big Boss Man
Reed, Lou - Walk on the Wild Side
Reed, Lou - Sweet Jane
Reed, Lou - Satellite of Love
Reed, Lou - Perfect Day
Reed, Lou -  see also  Velvet Underground 
Reef - I Got Something to Say
Reef - Place Your Hands
Reel 2 Real - I Like to Move It
Reese, Della & the Verity All-Stars - Walk with You
Reeves & Mortimer - I'm a Believer [Monkees cover]
Reeves, Connor - Read My Mind
Reeves, Connor - My Father's Son
Reeves, Connor - Earthbound
Reeves, Del - Girl on the Billboard
Reeves, Jim - I'm Gettin' Better
Reeves, Jim - I'm Gonna Change Everything
Reeves, Jim - Is It Really Over?
Reeves, Jim - it Hurts So Much
Reeves, Jim - Moonlight and Roses
Reeves, Jim - Not Until the Next Time
Reeves, Jim - There's a Heartache Following Me
Reeves, Jim - This Is It
Reeves, Jim - Welcome to My World
Reeves, Jim - When Two Worlds Collide
Reeves, Jim - You're the Only Good Thing
Reeves, Jim - I Won't Forget You
Reeves, Jim - I Won't Come in While He's There
Reeves, Jim - Adios Amigo
Reeves, Jim - Am I Losing You
Reeves, Jim - Billy Bayou
Reeves, Jim - Blue Boy
Reeves, Jim - Blue Side of Lonesome
Reeves, Jim - Distant Drums
Reeves, Jim - Four Walls
Reeves, Jim - Have You Ever Been Lonely [w/Patsy Cline]
Reeves, Jim - He'll Have to Go
Reeves, Jim - Home
Reeves, Jim - I Guess I'm Crazy
Reeves, Jim - I Love You Because
Reeves, Julie - What I Need
Reeves, Julie - Trouble Is a Woman
Reeves, Julie - It's About Time
Reeves, Martha & the Vandellas - see  Martha & the Vandellas 
Reeves, Ronna - That's All Right with Me
Reeves, Ronna - Rodeo Man
Reeves, Ronna - Never Let Him See Me Cry
Reeves, Ronna - My Heart Wasn't in It
Reeves, Vic - Dizzy
Reflections, The - Just Like Romeo and Juliet
Refreshments - Banditos
Refugee Camp All Stars & Lauryn Hill - Sweetest Thing, The
Regina Regina - More than I Wanted to Know
Rehab - Sittin' at a Bar (Bartender Song)
Reid, Alyssa - Alone Again [ft. Jump Smokers]
Reid, Mike - As Simple as That
Reid, Mike - I'll Stop Loving You
Reid, Mike - Walk on Faith
Rej3ctz - Cat Daddy
Relient K - Who I Am Hates Who I've Been
Relient K - Therapy
Relient K - Must Have Done Something Right
Relient K - Be My Escape
REM - I've Been High
REM - Losing My Religion
REM - Man on the Moon
REM - Nightswimming
REM - One I Love, The
REM - Orange Crush
REM - Radio Free Europe
REM - Radio Song
REM - Shiny Happy People [w/Kate Peirson of the B-52's]
REM - Sidewinder Sleeps Tonight, The
REM - Stand
REM - Strange Currencies
REM - Tongue
REM - What's the Frequency, Kenneth?
REM - It's the End of the World as We Know It (& I Feel Fine)
REM - Imitation of Life
REM - How the West Was Won
REM - Aftermath
REM - At My Most Beautiful
REM - Bad Day
REM - Bang & Blame
REM - Bittersweet Me
REM - Daysleeper
REM - Drive
REM - E-Bow the Letter
REM - Great Beyond, The
REM - Fall on Me
REM - Everybody Hurts [Helping Haiti version]
REM - Everybody Hurts
REM - Electron Blue
REM - Electrolite
Rembrandts, The - I'll Be There for You [Friends theme]
Rembrandts, The - Just the Way It Is Baby
Remy Zero - Save Me
Remy Zero - Prophecy
Remy Zero - Perfect Memory
Renay, Diane - Navy Blue
Rene & Renny - Deshojo la Margarita
Renee and Renato - Save Your Love
Reno, Mike & Ann Wilson - Almost Paradise [Footloose love theme]
REO Speedwagon - Ridin' the Storm Out
REO Speedwagon - Roll with the Changes
REO Speedwagon - Take It on the Run
REO Speedwagon - Time for Me to Fly
REO Speedwagon - One Lonely Night
REO Speedwagon - Keep the Fire Burnin'
REO Speedwagon - Keep on Loving You
REO Speedwagon - In Your Letter
REO Speedwagon - Don't Let Him Go
REO Speedwagon - Can't Fight This Feeling
Reparata & the Delrons - Captain of Your Ship
Replacements, The - Love Untold [Paul Westerburg solo]
Republica - Ready to Go
Republica - From Rush Hour with Love
Res - They-Say Vision
Restless Heart - Maverick
Restless Heart - Mending Fences
Restless Heart - No End to This Road
Restless Heart - That Rock Won't Roll
Restless Heart - Till I Loved You
Restless Heart - Wheels
Restless Heart - When She Cries
Restless Heart - When Somebody Loves You
Restless Heart - Why Does It Have to Be Wrong or Right
Restless Heart - You Can Depend on Me
Restless Heart - In This Little Town
Restless Heart - I'll Still Be Loving You
Restless Heart - Hometown Boy
Restless Heart - Baby Needs New Shoes
Restless Heart - Big Dreams in a Small Town
Restless Heart - Big Iron Horses
Restless Heart - Bluest Eyes in Texas, The
Restless Heart - Dancy's Dream
Restless Heart - Fast Movin' Train
Restless Heart - Feel My Way to You
Restless Heart - For Lack of Better Words
Restless Heart - Heartbreak Kid
Restless Heart - Hold You Now
Reunion - Life Is a Rock (But the Radio Rolled Me)
Revelation Theory - Slowburn
Revere, Paul & the Raiders - Good Thing
Revere, Paul & the Raiders - Hungry
Revere, Paul & the Raiders - Indian Reservation
Revere, Paul & the Raiders - Just Like Me
Revere, Paul & the Raiders - Kicks
Reverend & the Makers - Heavyweight Champion of the World
Revis - Caught in the Rain
Revis - Seven
Rewind - Precious
Rey, Lana Del - National Anthem
Rey, Lana Del - Carmen
Rey, Lana Del - Born to Die
Rey, Lana Del - Blue Jeans
Rey, Lana Del -  see  Del Ray, Lana 
Reyes, Frank - Tu Eres Ajena
Reynolds Girls, The - I'd Rather Jack
Reynolds, Jody - Endless Sleep
Rezillos, The - Top of the Pops
Rhett, Thomas - Something to Do with My Hands
Rhymes, Busta - see  Busta Rhymes 
Rice, Chris - Lemonade
Rice, Chris - When Did You Fall
Rice, Damien - Cannonball [remix]
Rice, Damien - Cannonball
Rice, Damien - Blover's Daughter
Rice, Damien - 9 Crimes
Rich Boy - Good Things [w/Polow Da Don & Keri Hilson]
Rich Boy - Throw Some D's
Rich, Charlie - Rollin' with the Flow
Rich, Charlie - She Called Me Baby
Rich, Charlie - Since I Fell for You
Rich, Charlie - Take It on Home
Rich, Charlie - There Won't Be Anymore
Rich, Charlie - Very Special Love Song, A
Rich, Charlie - You're Gonna Love Yourself
Rich, Charlie - On My Knees [w/Janie Frickie]
Rich, Charlie - Most Beautiful Girl, The
Rich, Charlie - Most Beautiful Girl in the World, The
Rich, Charlie - All Over Me
Rich, Charlie - Beautiful Woman
Rich, Charlie - Behind Closed Doors
Rich, Charlie - Big Boss Man
Rich, Charlie - Easy Look
Rich, Charlie - Every Time You Touch Me
Rich, Charlie - I Love My Friend
Rich, John - I Pray for You
Rich, John - Good Lord and the Man, The
Rich, John - Forever Loving You
Rich, John - For the Kids
Rich, John - Come to Bed [w/Gretchen Wilson]
Rich, John -  see also  Big & Rich 
Rich, John - Shuttin' Detroit Down
Rich, Tony - see  Tony Rich Project, The 
Richard X - Being Nobody [vs. Liberty X]
Richard X - Finest Dreams [w/Kelis]
Richard X - You Used To [w/Javine]
Richard, Cliff - Rote Lippen Soll Man Kussen
Richard, Cliff - Power to All Our Friends
Richard, Cliff - Please Don't Tease
Richard, Cliff - Over the Rainbow
Richard, Cliff - Next Time, The
Richard, Cliff - My Pretty One
Richard, Cliff - Move It
Richard, Cliff - Mistletoe and Wine
Richard, Cliff - Mistletoe & Wine
Richard, Cliff - Miss You Nights
Richard, Cliff - Minute You're Gone, The
Richard, Cliff - Silhouettes
Richard, Cliff - Some People
Richard, Cliff - Wired for Sound
Richard, Cliff - Wind Me Up Let Me Go
Richard, Cliff - When the Girl in Your Arms Is the Girl in Your Hea
Richard, Cliff - We Don't Talk Anymore
Richard, Cliff - Voice in the Wilderness, A
Richard, Cliff - Travelin' Light
Richard, Cliff - Theme for a Dream
Richard, Cliff - Thank You for a Lifetime
Richard, Cliff - Summer Holiday
Richard, Cliff - Suddenly
Richard, Cliff - Young Ones, The
Richard, Cliff - Millennium Prayer, The
Richard, Cliff - Gee Whiz It's You
Richard, Cliff - Fall in Love with You
Richard, Cliff - Don't Talk to Him
Richard, Cliff - Do You Wanna Dance
Richard, Cliff - Devil Woman
Richard, Cliff - Day I Met Marie, The
Richard, Cliff - Congratulations
Richard, Cliff - Can't Keep This Feeling In
Richard, Cliff - Best of Me, The
Richard, Cliff - Bachelor Boy
Richard, Cliff - High Class Baby
Richard, Cliff - I Could Easily Fall (In Love with You)
Richard, Cliff - Lucky Lips
Richard, Cliff - Living Doll
Richard, Cliff - Little in Love, A
Richard, Cliff - It's in Every One of Us
Richard, Cliff - It's All in the Game
Richard, Cliff - It'll Be Me
Richard, Cliff - In the Country
Richard, Cliff - I'm Looking Out the Window
Richard, Cliff - I Still Believe in You
Richard, Cliff - I Love You
Richard, Cliff - All I Ask of You [w/Sarah Brightman]
Richard, Steve - Keep on Rollin'
Richey, Kim - Come Around
Richey, Kim - Come On
Richey, Kim - From Where I Stand
Richey, Kim - I Know
Richey, Kim - Way It Never Was, The
RichGirl - 24's [w/Bun B]
Richie, Lionel - Say You, Say Me
Richie, Lionel - Sail On
Richie, Lionel - Running with the Night
Richie, Lionel - Penny Lover
Richie, Lionel - Ordinary Girl
Richie, Lionel - Oh No
Richie, Lionel - Night Shift
Richie, Lionel - Serves You Right
Richie, Lionel - Still
Richie, Lionel - Stuck on You
Richie, Lionel - Three Times a Lady
Richie, Lionel - To Love a Woman [w/Enrique Iglesias]
Richie, Lionel - Truly
Richie, Lionel - Why
Richie, Lionel - You Are
Richie, Lionel - You Mean More to Me
Richie, Lionel - My Love
Richie, Lionel - My Destiny
Richie, Lionel - All Night Long
Richie, Lionel - Angel
Richie, Lionel - Ballerina Girl
Richie, Lionel - Brick House [Commodores]
Richie, Lionel - Dancing on the Ceiling
Richie, Lionel - Deep River Woman
Richie, Lionel - Destiny
Richie, Lionel - Do It to Me
Richie, Lionel - Don't Wanna Lose You
Richie, Lionel - Easy [Commodores]
Richie, Lionel - Endless Love [w/Diana Ross]
Richie, Lionel - Hello
Richie, Lionel - I Call It Love
Richie, Lionel - I Hear Your Voice
Richie, Lionel - Lady
Richie, Lionel - Love Will Conquer All
Richie, Shane - I'm Your Man
Rickitt, Adam - I Breathe Again
Ricochet - Blink of an Eye
Ricochet - What Do I Know
Ricochet - She's Gone
Ricochet - Love Is Stronger than Pride
Ricochet - Honky Tonk Baby
Ricochet - He Left a Lot to Be Desired
Ricochet - Ease My Troubled Mind
Ricochet - Do I Love You Enough
Ricochet - Daddy's Money
Ricochet - Connected at the Heart
Ricochet - Can't Stop Thinkin' About That
Riddle, Jessica - Even Angels Fall
Ridgway, Stan - Camouflage
Right Said Fred - Deeply Dippy
Right Said Fred - I'm Too Sexy
Right Said Fred - You're My Mate
Righteous Brothers, The - You've Lost That Lovin' Feelin'
Righteous Brothers, The - Unchained Melody
Righteous Brothers, The - Soul and Inspiration
Righteous Brothers, The - Rock & Roll Heaven
Righteous Brothers, The - Ebb Tide
Rihanna - SOS (Rescue Me)
Rihanna - Shut Up and Drive
Rihanna - S&M
Rihanna - Russian Roulette
Rihanna - Run This Town [w/Jay-Z & Kanye West]
Rihanna - Rude Boy
Rihanna - Right Now [w/David Guetta]
Rihanna - Stay [w/Mickky Ekko]
Rihanna - Take a Bow
Rihanna - Take Care [w/Drake]
Rihanna - Talk That Talk [ft. Jay-Z]
Rihanna - Umbrella [w/Jay-Z]
Rihanna - Unfaithful
Rihanna - We Found Love [w/Calvin Harris]
Rihanna - We Ride
Rihanna - What's My Name [w/Drake]
Rihanna - Where Have You Been
Rihanna - Rehab
Rihanna - Princess of China [w/Coldplay]
Rihanna - Pour It Up
Rihanna - Break It Off [w/Sean Paul]
Rihanna - California King Bed
Rihanna - Cheers (Drink to That)
Rihanna - Diamonds
Rihanna - Disturbia
Rihanna - Don't Stop the Music
Rihanna - Farewell
Rihanna - Fly [w/Nicki Minaj]
Rihanna - Hard [w/Jeezy]
Rihanna - Hate That I Love You [w/Ne-Yo]
Rihanna - If I Never See Your Face Again [w/Maroon 5]
Rihanna - If It's Lovin' That You Want
Rihanna - Live Your Life [w/T.I.]
Rihanna - Love the Way You Lie [w/Eminem]
Rihanna - Oh Baby
Rihanna - Only Girl (In the World)
Rihanna - Pon de Replay
Rihanna - You Da One
Rikarena - Cuando el Amor Se Dana
Riley, Jeannie C. - Harper Valley P.T.A.
Riley, Talay - Look for Me [w/Chipmunk]
Rimes, LeAnn - Something's Gotta Give
Rimes, LeAnn - Some People
Rimes, LeAnn - Right Kind of Wrong, The
Rimes, LeAnn - Put a Little Holiday in Your Heart
Rimes, LeAnn - Probably Wouldn't Be This Way
Rimes, LeAnn - Please Remember
Rimes, LeAnn - One Way Ticket (Because I Can)
Rimes, LeAnn - One of These Days
Rimes, LeAnn - On the Side of Angels
Rimes, LeAnn - Nothing Better to Do
Rimes, LeAnn - Nothin' New Under the Moon
Rimes, LeAnn - Nothin' 'bout Love Makes Sense
Rimes, LeAnn - Soon
Rimes, LeAnn - Suddenly
Rimes, LeAnn - Your Cheatin' Heart
Rimes, LeAnn - You Light Up My Life
Rimes, LeAnn - Written in the Stars [w/Elton John]
Rimes, LeAnn - Where I Stood
Rimes, LeAnn - When You Love Someone Like That [w/Reba McEntire]
Rimes, LeAnn - What I Cannot Change
Rimes, LeAnn - We Can
Rimes, LeAnn - Unchained Melody
Rimes, LeAnn - Tic Toc
Rimes, LeAnn - This Love
Rimes, LeAnn - These Arms of Mine
Rimes, LeAnn - Ten Thousand Angels Cried
Rimes, LeAnn - My Baby
Rimes, LeAnn - Looking Through Your Eyes
Rimes, LeAnn - Light in Your Eyes, The
Rimes, LeAnn - Gasoline and Matches [w/Rob Thomas & Jeff Beck]
Rimes, LeAnn - Feels Like Home
Rimes, LeAnn - Crazy Women
Rimes, LeAnn - Crazy
Rimes, LeAnn - Cowboy's Sweetheart
Rimes, LeAnn - Commitment
Rimes, LeAnn - Clinging to a Saving Hand
Rimes, LeAnn - Can't Fight the Moonlight
Rimes, LeAnn - But I Do Love You
Rimes, LeAnn - Borrowed
Rimes, LeAnn - Blue
Rimes, LeAnn - Big Deal
